14463469
/m/03d4bgp
/m/03d4bgp
Tom Stoppard

11 1
a 4
accused 1
adept 1
again 1
allege 1
american 3
an 2
and 3
as 2
at 1
begun 1
briefly 1
bring 1
british 1
can 1
citizenship 1
clich 1
committee 4
commons 1
curtain 1
dictation 1
discuss 2
do 1
each 1
eventually 1
every 1
falls 1
focusing 1
for 1
from 1
get 1
good 1
gotobed 1
harassment 1
has 2
house 3
idea 1
in 1
including 1
into 2
ironically 1
is 2
it 2
its 1
kingdom 1
laud 1
look 1
maintain 1
man 1
meets 1
member 1
members 3
miss 1
most 1
mystery 1
name 1
nation 1
naturalization 1
newfoundland 1
newspapers 1
not 3
of 9
older 1
on 1
other 1
out 1
papers 1
parliament 1
patriotic 1
press 2
recent 1
reclaim 1
remember 1
reminds 1
rendezvous 1
returns 1
ridiculous 1
rises 1
room 1
scandal 1
secretary 2
select 2
sexual 1
six 1
so 1
some 1
tabloid 1
that 2
the 19
their 1
then 1
they 3
to 5
tries 1
turns 1
two 1
united 1
up 1
very 1
want 1
which 2
who 1
whole 1
woman 2
wrong 1
younger 1
