14095986
/m/03ctgcr
/m/03ctgcr
Ray Bradbury

a 13
abandoned 1
about 1
advanced 1
advised 1
advising 1
again 1
agree 2
agriculture 1
ailing 1
all 1
also 1
an 1
and 12
another 1
apparently 1
are 5
area 1
as 3
asks 1
at 2
automobile 1
away 2
be 3
beat 1
beautiful 2
been 1
begins 1
behind 2
being 2
bonfire 1
both 1
break 1
bring 1
brings 1
burn 1
but 1
by 3
called 1
changed 4
china 1
cities 1
city 1
club 2
comes 1
could 1
daughter 2
day 1
decides 1
defined 1
describe 1
described 1
desert 1
directs 1
discuss 1
disease 1
drink 1
driving 1
each 1
eat 1
electricity 1
face 1
famine 1
farms 1
favor 1
feud 1
first 2
for 4
frantically 1
from 1
fruitlessly 1
gods 1
goes 1
golden 1
ground 1
has 2
have 2
her 1
herself 1
hide 1
him 1
his 1
how 1
ill 1
in 12
inform 1
inhabitants 2
interpreted 1
irrigation 1
is 8
it 3
its 1
itself 1
king 3
kite 2
kites 3
kwansi 6
lake 2
last 1
little 1
live 1
luck 1
lying 1
made 1
make 3
mandarin 5
mandarins 1
men 1
messenger 3
modern 1
mouth 2
name 1
nature 1
needle 2
neighboring 1
news 1
no 1
norm 1
nothing 2
of 8
on 2
one 1
or 5
orange 2
orangeshaped 1
other 3
over 1
pastoral 1
peace 1
pig 3
place 1
prone 1
quite 1
rampant 2
rebuild 1
rebuilt 1
representing 1
resemble 3
reshaped 1
response 1
says 1
screen 2
send 1
set 2
several 1
sew 1
shall 2
shape 2
she 2
shining 1
shops 1
should 1
shows 1
silk 1
silken 1
silver 1
sky 1
small 1
some 1
soon 1
stands 1
starved 1
stay 1
still 1
stop 1
story 2
such 2
superstition 2
sustain 2
sword 1
technology 1
that 5
the 49
their 5
them 3
there 1
they 2
this 2
thus 1
time 3
to 24
town 11
trade 2
travelers 2
two 2
upon 1
vicinity 1
village 1
voice 1
wait 1
walls 6
way 1
weakly 1
well 1
what 2
where 1
which 1
who 1
will 2
wind 3
with 2
within 1
without 2
work 1
would 2
