10857994
/m/02qs6h1
/m/02qs6h1
Victoria Holmes
2003-10-14
a 6
about 2
adventures 1
affair 1
after 1
against 1
although 1
an 2
and 10
announce 1
announcement 1
anymore 1
are 1
arrives 1
as 4
asks 1
at 1
attempt 1
attempts 1
away 1
band 1
battle 1
be 3
believes 2
best 2
between 1
birth 1
bluestar 4
book 1
brokentail 1
but 4
by 1
camp 3
cannot 1
cat 3
change 1
clan 6
come 1
continues 1
corners 1
danger 1
darkstripe 1
days 1
decides 1
defend 1
den 1
deputy 4
determined 1
dies 1
driven 1
drove 1
during 1
dustpelt 1
each 1
early 1
end 1
entire 1
even 2
eventually 2
ever 1
exile 2
exposed 1
face 1
feel 1
feeling 1
fireheart 10
first 1
for 1
forbidden 2
friend 3
from 4
giving 1
good 1
graystripe 7
had 2
harder 1
has 2
have 1
having 2
he 9
heartbroken 2
heavyheartedly 1
her 4
him 2
himself 1
his 6
if 1
in 5
into 1
invasion 1
is 13
join 2
just 1
kill 2
kits 2
kittypet 1
last 1
later 2
lead 1
leader 2
leads 1
learns 1
left 2
life 1
lonely 1
longtail 1
losing 1
love 2
loyalties 1
made 2
manages 1
many 2
meanwhile 1
met 1
might 1
missing 1
moonhigh 1
mutiny 1
not 1
noticed 1
of 8
off 1
order 1
over 1
position 1
possibility 1
pretending 1
proves 1
raise 1
rapidly 1
reconsider 1
refuses 1
regained 1
risking 1
risks 1
riverclan 2
rogues 1
save 1
seen 1
shadowclan 1
shaken 1
shared 1
she 2
sheltering 1
shocked 1
silverstream 4
since 1
sure 1
suspect 1
that 4
the 18
then 2
they 3
things 1
this 1
though 1
thought 1
thunderclan 4
tigerclaw 10
time 1
times 1
to 12
torn 1
tradition 1
traitor 1
treachery 1
tries 1
trust 4
truth 1
uncover 1
unsuccessful 1
unsure 1
untrustworthy 1
want 1
was 1
when 1
whether 1
which 1
while 1
whilst 1
who 2
whom 3
will 1
windclan 1
with 5
without 1
would 1
