1550981
/m/059pht
/m/059pht
Iris Murdoch
1980
44 1
a 10
about 1
advice 1
affair 1
after 1
all 1
also 1
amount 1
an 1
and 17
are 3
artist 1
as 1
ask 1
at 1
be 1
because 1
bed 1
begin 1
begins 1
book 1
both 1
bother 1
but 4
by 2
came 1
cancer 1
cannot 2
chat 1
circle 1
class 1
coincidence 1
colossal 1
coming 1
concerned 1
consequences 1
could 1
countryside 1
craft 1
daisy 2
day 1
death 1
dies 1
do 1
doesnt 1
down 2
dresses 1
drink 1
drinks 1
dropins 1
either 1
end 1
entertains 1
fair 1
flat 2
for 4
fray 1
french 1
friends 1
genuinely 1
gertrude 3
gertrudes 2
gets 1
girlfriend 1
giving 1
good 1
guy 4
guys 2
hard 1
has 2
he 5
heart 1
heavy 1
her 5
hero 1
him 3
his 5
home 1
hours 1
in 6
inheritance 1
is 9
it 2
kind 1
lets 2
like 2
lively 1
london 1
lost 1
love 1
makes 1
manolder 1
marriage 1
misfits 1
money 2
most 1
murdoch 1
named 1
namely 1
natural 1
novel 2
of 10
old 1
on 3
once 2
one 1
openshaw 2
or 1
other 1
out 1
pair 1
part 1
passed 1
people 1
perfect 1
play 1
punk 1
questioning 1
reede 1
relations 1
relied 1
romance 1
run 2
sailor 1
screwup 1
sell 1
set 1
she 1
softened 1
some 1
stand 1
starving 1
still 1
stream 1
study 1
subsequent 1
support 2
talks 1
that 1
the 17
them 1
there 1
theyre 1
tim 4
time 1
timgertrude 1
to 5
touches 1
treachery 1
up 1
varied 1
visit 1
visitors 3
wanting 1
ways 1
were 1
what 1
which 1
who 4
wife 1
winds 1
with 3
without 1
woman 1
work 2
years 1
younger 1
youngish 1
