790772
/m/03cf4h
/m/03cf4h
Virginia Woolf
1927-05-05
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 11
able 1
about 1
absence 1
accompanied 1
acquaintances 1
admiration 1
admirer 1
adrift 1
after 1
ago 1
almost 1
along 1
also 2
an 4
and 21
andrew 1
anguish 1
another 1
are 3
arrive 1
as 5
asks 1
asserts 1
assuring 1
at 3
attempting 1
attempts 1
attitude 1
augustus 1
away 1
back 1
bait 1
balancing 1
be 2
beach 1
been 1
begins 3
being 1
between 3
boat 1
bouts 1
briscoe 2
brooch 1
brought 1
but 1
by 5
cam 1
camilla 1
can 1
carmichael 1
catches 1
caught 1
certain 1
certainty 1
changes 1
chapter 1
charles 1
childbirth 1
children 2
claims 1
clear 1
closes 1
colleagues 1
come 2
comfort 1
complete 1
complications 1
context 1
cuts 1
daughter 1
day 1
death 1
denied 1
dies 1
dinner 2
does 1
doubts 2
doyle 1
during 3
effort 1
empathy 1
ends 1
engagement 1
especially 1
events 1
eventual 1
eventually 1
execution 1
expect 1
father 4
fear 1
fed 1
final 1
finally 2
finds 1
finishing 1
first 1
fish 3
flesh 1
for 4
forces 1
forcing 1
fouryear 1
friends 1
from 5
gives 1
grandmothers 1
guest 1
guests 1
happen 1
harsh 1
has 5
have 1
he 3
hears 1
hebrides 1
held 1
her 8
herself 2
him 2
himself 1
his 9
home 2
house 1
however 1
i 1
idea 1
important 1
impressions 1
in 10
incident 1
injured 1
into 1
is 8
isle 1
it 1
itself 1
james 5
joined 1
just 1
keeps 1
killed 1
large 1
largely 1
late 1
leaving 1
left 1
legacy 1
life 1
lighthouse 5
lily 2
longdelayed 1
longevity 1
lost 1
macalister 1
memory 1
mind 1
minta 2
moment 1
more 1
mr 9
mrs 8
multitude 1
nearly 1
neither 1
next 1
nor 1
not 3
novel 4
number 1
objective 1
occasions 1
of 23
off 1
on 5
one 1
opinion 1
other 1
out 1
paint 1
painter 1
painting 2
part 1
particular 1
party 2
pass 1
passes 1
passing 1
paul 1
philosophical 2
piece 1
plagued 1
plans 1
poet 1
portrayal 1
praise 2
prediction 1
protest 1
providing 1
prue 1
ramsay 14
ramsays 3
rare 1
rather 1
rayley 1
reach 1
reaches 1
ready 1
realizes 1
receiving 1
reconsiders 1
referred 1
regarding 1
relationship 1
remaining 1
resentment 1
return 1
sail 1
sailing 2
sailor 1
satisfies 1
sea 1
second 2
section 4
seeing 1
sense 1
serving 1
set 3
she 4
should 1
silent 1
since 1
skye 1
snaps 1
some 2
son 4
sort 1
sorts 1
soup 1
start 1
steady 1
summer 2
taking 1
tansley 2
ten 3
tension 1
than 2
that 6
the 47
their 2
them 2
they 5
this 2
throughout 2
throwing 1
time 1
to 13
together 1
towards 2
travel 1
treatises 1
trip 3
truth 1
two 1
uncertain 1
upon 1
use 1
various 1
vision 1
visit 1
visiting 1
voices 1
war 2
weather 1
when 2
which 1
while 1
who 4
whom 1
wife 1
will 1
with 3
without 1
women 1
words 1
work 2
world 1
write 1
years 3
young 1
