6480876
/m/0g6zk7
/m/0g6zk7
Sam Shepard

a 7
abandoning 1
action 2
afraid 1
all 1
always 1
an 1
and 8
are 1
around 1
as 1
at 2
back 2
battling 1
became 1
because 1
before 1
begins 1
begun 1
both 1
buy 1
centers 1
character 1
characters 1
child 1
childhood 1
come 1
convince 1
countess 1
cycle 1
delusions 1
desert 1
destructive 1
different 1
double 1
drama 1
drinking 1
each 3
eddie 5
emulate 1
end 1
falling 1
family 1
farm 1
father 2
figured 1
finally 1
flame 1
fools 1
for 1
friend 1
goes 1
had 2
has 3
have 1
herself 1
hiding 1
high 1
him 1
himself 1
his 2
home 1
if 1
in 4
is 5
it 3
knows 1
led 1
left 1
life 3
live 1
lose 1
lovers 4
man 3
may 5
mdash 2
mojave 1
motel 2
mother 1
new 1
not 1
observe 1
occurred 1
of 5
old 5
on 2
other 1
out 2
own 1
parents 1
parts 1
play 3
plot 1
present 1
rather 1
reconciled 1
refers 1
refuses 1
relationship 1
repeat 1
revealed 1
rising 1
said 1
same 1
school 1
secretly 1
seeing 1
she 2
shot 1
shows 1
stage 1
started 1
stranger 1
taking 1
talks 1
than 1
that 3
the 19
their 3
they 1
throughout 1
to 11
trailer 1
tries 1
two 3
up 1
wanted 1
what 1
when 2
will 1
with 2
woman 1
years 1
