16328503
/m/03wgzqh
/m/03wgzqh


{"/m/06n90": "Science Fiction"}
1th 1
a 18
able 1
absentmindedness 1
accepted 1
accidentally 1
accomplishments 1
achievements 1
achieves 1
adrien 3
advances 1
advertisement 1
affected 2
after 1
air 2
along 1
alter 1
an 4
and 27
apparently 1
application 1
applications 1
are 3
army 1
arsne 1
as 4
asked 1
assisting 1
at 2
audience 1
bardoz 3
be 2
becomes 1
been 1
before 1
begins 1
believes 1
belongs 1
biological 2
body 1
boost 1
boss 1
both 1
break 1
breakdown 1
bride 2
but 1
by 5
can 1
caught 1
century 1
chemical 1
chilly 1
choice 1
circumstance 1
class 1
cold 2
colleague 1
collect 1
completely 1
concert 2
confuses 1
contact 1
continues 1
convinced 1
copies 2
corps 1
coupard 3
couple 1
cured 1
days 1
de 4
decision 1
demonstrations 1
desired 1
despite 1
dignitaries 1
disinherit 1
docroresse 3
does 1
due 3
during 1
each 1
effect 1
either 2
electric 2
embark 1
employs 1
encounters 1
engages 1
engineers 1
enjoyment 1
ensues 1
escape 1
escapes 1
esteem 1
estella 1
estelle 7
even 1
ever 1
excels 1
exhaustion 1
explains 1
face 1
factories 1
failure 1
family 1
father 2
fatigue 1
figure 1
for 2
france 1
french 1
from 3
furious 1
further 1
gathered 1
george 14
give 1
going 1
great 4
greatest 1
guests 2
had 1
hand 1
has 2
have 1
having 1
he 8
health 2
her 1
him 1
himself 1
his 17
hospital 1
house 2
however 1
hronnire 3
idea 1
if 1
immediately 1
immune 1
in 11
incapacitates 1
including 2
inhabitants 1
insists 1
instead 1
instructions 1
intended 1
intensive 1
intention 1
into 2
invalid 1
inventions 1
inventor 1
invites 1
is 15
journey 2
la 12
laboratories 1
lacombe 1
large 1
last 1
latter 2
lawsuits 1
lethal 1
lets 1
level 2
lieutenant 1
lifetime 1
live 1
lobby 1
looming 1
lorris 14
luckily 1
make 2
makes 1
managing 1
maneuvers 1
many 1
marettes 1
marries 1
marry 4
martyrs 1
meant 1
meanwhile 1
meddle 1
mediocre 1
meet 1
mental 1
middle 2
military 1
modern 1
more 1
named 1
national 1
newspapers 1
night 1
not 3
notice 1
novel 1
occupy 1
of 28
offered 1
on 9
one 2
only 2
opposition 1
or 1
organizes 1
original 1
originals 1
other 1
out 3
over 1
owners 1
pair 1
panacea 1
panic 1
party 2
past 1
patient 1
people 1
performers 1
personal 1
phenomenal 1
philox 13
plan 1
planning 1
plans 1
play 1
played 1
poison 1
poisoned 1
political 2
politicians 1
prenuptial 1
presently 1
previously 1
prominent 1
promote 1
puts 1
quality 1
quarrel 1
quiet 1
raging 1
recently 1
recorded 1
recovers 1
relationship 2
repeats 1
replace 1
resist 1
rest 1
result 1
returns 1
rightness 1
room 1
sarthe 3
save 1
science 1
scientific 2
scientist 2
seeing 1
senatrice 3
she 1
sick 1
sickbeds 1
since 1
singers 1
sole 1
some 1
son 2
soon 1
sound 2
stations 1
still 1
stopped 1
storm 1
success 1
successor 1
suffering 1
suggested 1
sulfatin 11
taken 1
takes 2
tapes 3
technology 1
than 1
that 2
the 65
their 1
them 3
these 1
this 4
tlphonoscope 1
to 28
took 1
tour 1
traditions 1
transformed 1
tries 1
trip 1
trying 1
turns 1
two 2
unforeseen 1
unfortunately 1
vaccine 6
various 1
via 1
video 1
videorecordings 1
videos 1
village 1
voices 1
wants 1
ward 1
weapon 3
when 2
where 3
which 5
who 3
whose 1
with 4
woman 1
work 1
working 1
would 1
young 1
