14172888
/m/03cwt5c
/m/03cwt5c
Tim Winton
2008
{"/m/05hgj": "Novel"}
a 1
american 1
an 1
and 5
as 1
attempt 1
become 1
book 1
boyhood 1
boys 2
breath 1
bruce 1
concerned 1
courage 1
dangerous 1
dare 1
developing 1
disintegration 1
each 1
endurance 1
escape 1
eva 1
explores 1
farthest 1
first 1
former 1
friendship 2
half 1
his 2
in 3
is 1
ivan 1
leads 1
levels 1
limits 1
lives 1
local 1
loon 1
loonie 3
meet 1
named 1
narrator 1
new 1
novel 1
of 6
ordinariness 1
other 1
out 1
part 1
perform 1
pike 1
pikelet 2
professional 1
recklessness 1
recounts 1
relationship 1
river 1
sando 3
sanity 1
second 1
seek 1
stunts 1
surfer 1
surfing 1
take 1
teenagers 1
the 10
their 1
them 1
they 2
to 4
up 1
urge 1
when 1
who 1
wife 1
with 4
young 1
youthful 1
