1187127
/m/04fly7
/m/04fly7
Bernard Malamud
1952
16 1
17game 1
1yearold 1
35000 1
a 43
about 3
accepted 1
accuses 1
accusing 1
advances 1
after 5
all 2
along 1
also 1
american 2
amount 1
amounts 1
an 3
and 25
announce 1
any 1
appear 1
arguing 1
as 3
asks 1
assistant 1
associates 1
at 7
atbat 1
attempting 1
attempts 2
attention 2
away 2
babe 1
back 2
bad 1
baily 2
ball 2
banner 1
baseball 3
based 1
basis 1
bat 3
be 2
beautiful 1
bed 1
been 5
before 1
being 1
best 3
bird 4
blow 1
book 1
bookie 1
both 2
bowel 1
breaks 2
bribe 1
brilliant 1
brilliantly 1
bump 4
but 7
by 3
call 1
came 1
can 2
cannot 1
careers 1
carnival 1
challenges 1
chance 2
checks 1
chicago 4
child 1
clubhouse 1
collapses 1
column 1
company 1
completely 1
continues 1
conversation 1
coowner 1
counteroffer 1
court 1
cover 1
cubs 1
current 1
day 1
days 1
decides 1
denounces 1
desire 1
details 1
determined 1
dies 1
disappointed 1
discards 1
dismisses 1
do 3
doctor 1
does 4
dollars 1
down 2
drops 1
dugout 1
during 3
eats 1
edition 1
emerges 1
end 3
ending 1
ends 1
ensues 1
entitled 1
even 1
evening 1
eventually 1
everyone 1
exactly 1
extended 1
eye 1
fact 1
fail 1
falls 1
family 1
fan 1
few 1
fictional 1
field 1
fielder 1
final 2
finally 1
finding 1
fires 1
first 1
fisher 2
five 1
fly 1
food 1
for 10
fouls 1
from 8
further 1
future 1
game 10
games 1
gets 1
glass 1
goes 2
grandmother 2
grant 1
gun 1
gus 2
hard 1
harriet 2
has 9
have 2
having 1
he 25
head 1
headline 1
her 12
herman 1
higher 1
him 12
his 12
hit 1
hits 1
hitter 2
hitting 2
hobbs 29
home 1
hospital 1
hosted 1
hotel 2
however 3
humiliation 1
hustling 1
if 1
ignominious 1
impact 1
impart 1
impress 1
in 16
include 1
including 1
increasing 1
infatuated 1
injuring 1
intent 1
into 4
introduces 1
iris 4
is 15
it 7
jokes 1
judge 8
just 2
keeping 1
knights 9
knock 1
knocked 1
large 1
late 1
later 3
leading 1
leads 1
league 5
learns 1
leaves 1
left 1
lemon 1
lengthwise 1
lesson 1
letter 2
live 1
lose 1
losing 1
luck 1
lunatic 1
magic 1
makes 2
manager 4
max 3
meet 1
meets 1
memo 10
mercy 5
money 3
more 1
most 1
motive 1
mouth 1
movement 1
much 1
murdering 1
must 1
my 1
mysterious 2
national 3
natural 1
negotiate 1
new 2
newest 1
newlyhustling 1
newsboy 1
newspaper 1
next 1
niece 1
night 1
not 4
novel 2
now 1
number 3
obsessed 1
occupied 1
of 25
off 2
offers 2
on 6
once 2
one 3
opens 1
opposing 1
other 1
out 8
outfield 1
over 1
pants 1
paper 1
paris 2
party 1
passengers 1
past 1
payroll 1
pennant 2
people 1
permanent 1
picks 1
pinch 1
pinchhitting 1
pitch 1
pitcher 1
play 4
played 1
player 3
plight 1
pop 9
practical 1
pregnant 1
proceeds 1
promptly 1
proves 1
provided 1
public 1
push 1
puts 1
quick 1
quiet 1
rail 1
raise 1
reads 1
realizes 1
reappears 1
rebuffs 1
receives 1
red 3
refusal 1
relationship 1
remains 1
retire 1
rewarded 1
right 2
rises 1
room 2
roy 11
run 1
runs 1
ruth 1
sad 1
salary 1
sam 1
same 2
sands 4
saying 1
searching 1
season 3
seat 1
see 1
seeing 1
seeking 1
seem 1
sees 1
sends 1
she 7
shooting 1
shoots 1
should 1
signed 1
since 1
sleep 1
slump 1
so 1
solve 1
some 1
soon 1
sort 1
source 1
splits 1
sportswriter 1
stadium 1
stands 1
star 1
start 1
staying 1
stop 1
streak 2
strike 1
strikes 3
struck 1
substitutes 1
success 1
surprise 1
suspect 1
take 1
takes 2
target 1
teach 1
team 6
tell 1
tells 3
tendency 1
that 10
thatliterallyhitting 1
the 72
theft 1
their 3
them 1
then 2
these 1
thousand 1
threetime 1
throwing 1
throws 1
time 1
times 1
to 39
train 5
traveling 1
tricks 1
tries 1
triple 1
true 1
truly 1
tryout 1
tunnel 1
turns 2
two 1
ulterior 1
unable 1
under 1
unsuccessfully 1
until 1
up 3
upon 2
uprising 1
valuable 1
wakes 1
wall 1
walter 1
wants 2
warning 1
warns 1
was 1
ways 1
weeps 1
whambold 1
whammer 4
when 2
where 1
which 2
who 6
whom 1
will 1
win 2
winding 1
wing 1
winning 2
wishes 1
with 15
woman 4
wonderboy 2
word 1
writes 1
years 1
york 1
young 1
youngberry 1
