1085364
/m/044pzd
/m/044pzd
Larry Niven
1987
a 11
about 1
admiralty 3
advanced 1
after 2
all 1
although 1
and 9
apparently 1
are 2
around 1
as 2
at 2
attempts 1
be 3
become 2
believe 1
believing 1
blocked 1
book 1
born 1
breakdown 1
build 1
capable 1
capturing 1
carther 1
chain 1
character 1
citizen 5
citizens 1
civilization 2
clump 1
colonization 1
colonized 1
community 1
computer 1
contact 2
crew 2
daltonquinn 1
decides 1
development 1
develops 1
does 1
drivers 1
due 1
dwarves 1
dwellers 1
earth 2
end 1
environment 1
events 2
evolved 1
exists 1
explored 1
explores 1
exploring 1
fact 1
few 2
fifteen 1
fit 1
follows 1
for 2
forced 1
form 1
from 2
gain 1
gives 1
goes 1
gold 1
group 2
had 2
has 2
have 2
he 4
height 1
his 2
humans 2
impatient 1
in 6
infiltrate 1
information 1
integral 1
into 2
is 2
it 1
its 1
job 1
jungle 1
keeping 1
kendy 4
l4 1
lagrange 1
latest 2
learns 1
led 1
london 1
long 1
major 1
making 1
manipulates 1
may 1
memory 1
mission 1
mixture 1
more 3
most 1
much 3
mutinied 1
mutiny 1
near 1
neighboring 1
new 1
normal 1
not 1
notice 1
obsession 1
occasionally 1
of 17
off 1
on 3
one 1
operating 1
operator 2
or 1
orders 1
original 3
own 1
personality 1
place 1
point 1
realizes 1
recorded 1
records 1
reestablish 1
refer 1
relearns 1
retrieving 1
ring 5
run 1
settled 1
ship 2
silver 2
size 1
small 1
smoke 5
some 1
sort 1
spaceship 1
spacesuit 2
spend 1
stable 1
state 1
states 1
story 6
subplot 1
suffers 1
suit 3
survive 1
survivors 1
takes 1
tall 1
technology 1
than 1
that 4
the 42
them 1
they 1
this 6
through 1
time 1
to 12
too 2
travelogue 1
tree 7
trees 1
trepidation 1
truth 1
two 1
unique 1
used 1
was 1
when 2
which 2
who 2
with 5
wonder 1
working 1
years 1
