20031459
/m/04ygvl8
/m/04ygvl8
Betty MacDonald

11 1
12 1
142 1
154 1
a 15
able 1
adolescence 1
adults 1
after 1
and 5
anne 1
are 2
as 3
at 2
bark 1
be 1
beach 2
began 1
being 1
betty 1
book 2
brings 1
building 1
bus 1
catch 2
change 1
children 2
choice 1
cold 1
commuting 1
confusion 1
contractor 1
covers 1
creosote 1
describes 1
divorced 1
do 1
domestic 1
donald 1
done 1
early 1
ferry 1
finally 1
find 1
finding 1
firewood 1
follow 1
food 1
for 1
from 3
gathered 1
getting 1
girls 1
going 1
harbor 1
have 3
help 1
her 2
highly 1
hindrance 1
home 4
house 2
if 1
in 4
influx 1
intended 1
is 3
island 1
islands 1
joan 1
joys 1
just 1
land 1
living 1
local 1
logs 1
low 1
macdonald 1
mainland 1
married 1
met 1
mother 2
muddy 1
must 1
neighbours 2
not 1
of 9
office 1
on 3
opens 1
or 3
part 1
pearl 1
period 1
pieces 1
poetic 1
population 1
priorities 1
prized 1
problems 1
property 1
provide 1
quickly 1
quite 1
result 2
road 2
rush 1
same 1
scenes 1
school 1
sea 1
searching 1
seattle 1
she 1
so 2
some 1
stormy 1
suburbs 1
suitable 1
summer 1
the 21
their 1
there 1
they 2
through 1
tide 2
time 1
to 6
trail 1
tried 1
two 1
usually 1
various 1
vashon 1
walk 1
wartime 1
was 2
weather 1
which 2
while 1
who 1
winter 1
with 1
without 1
working 1
