20767082
/m/057dqw_
/m/057dqw_
Richelle Mead
2009-08-25
{"/m/02vzzv": "Urban fantasy", "/m/03mfnf": "Young adult literature", "/m/04n87l": "Dark fantasy", "/m/01qxvh": "Romance novel", "/m/072lff": "Paranormal romance"}
a 14
abe 3
academy 2
actually 1
adrian 1
after 5
against 1
agreeing 1
agrees 1
alchemist 2
alive 1
all 1
already 1
also 1
an 2
and 18
another 1
any 1
appearance 1
are 1
asks 1
at 4
attempt 1
avery 6
back 7
baia 2
battle 1
be 4
because 1
become 1
been 2
being 1
blood 1
bond 1
bonded 2
bridge 1
brother 1
but 1
by 5
can 1
catches 1
chance 1
checking 1
chest 1
claimed 1
clue 1
coerces 1
compulsion 1
control 1
currently 1
danger 1
dashkov 1
decides 1
dimitri 8
dimitris 1
does 1
doru 2
during 1
enclosed 1
ends 2
escape 1
eventually 4
exhausted 1
falling 1
family 1
father 1
feeding 1
fight 1
find 1
finding 2
finds 1
finish 1
for 1
force 1
former 2
friend 1
from 3
gets 1
go 2
goes 2
grabbing 1
graduate 1
guardian 1
guardians 1
guide 1
halfbrother 1
happened 1
has 5
have 2
he 6
head 1
heal 1
held 2
help 1
her 14
him 7
his 4
home 1
hopeless 1
hopes 1
hostage 2
however 2
idea 1
in 8
instead 1
into 2
is 6
janine 1
keep 1
keeps 1
kill 3
knew 1
leaves 1
leaving 1
life 3
lissa 9
man 1
manages 3
mark 3
meet 1
meeting 1
meets 1
might 1
moroi 1
mother 1
mysterious 1
named 3
normal 1
not 1
note 1
novosibirsk 1
of 5
off 1
oksana 4
on 3
only 3
other 1
out 4
package 1
pair 1
plunge 1
promise 1
properly 1
pushed 1
realizes 2
realizing 1
really 1
receives 1
reed 1
reenroll 1
refuses 1
reluctantly 1
restore 1
restored 2
reunites 1
reveals 1
robert 2
rose 16
russia 2
saving 1
saying 1
says 1
school 2
secret 1
selves 1
shadowkissed 2
shares 1
she 13
siberia 2
simon 1
sister 1
situation 1
small 1
so 1
somewhere 1
soon 1
spirit 2
st 6
stake 4
staked 2
still 2
strigoi 7
stunned 1
sydney 2
tell 1
that 4
the 10
their 1
then 2
there 2
they 4
through 2
thus 1
to 32
too 1
town 1
travel 1
travels 1
tries 1
turn 1
unpromised 1
until 1
up 5
used 1
user 2
using 1
victor 1
viktoria 1
visit 1
vladimir 5
vladmir 1
waiting 2
wakes 1
wants 1
was 4
way 2
weakening 1
what 1
when 2
where 4
whether 1
while 3
who 5
will 1
with 10
would 2
