5535961
/m/0drdms
/m/0drdms
Mary Cheney
2006
{"/m/016chh": "Memoir"}
2000 2
2004 2
a 1
about 2
act 1
also 1
and 1
as 2
at 1
be 1
because 1
believed 1
best 1
bush 2
by 1
came 1
campaign 4
cheney 2
commanderinchief 1
considered 1
dick 1
during 2
elections 1
experience 1
expresses 2
father 1
for 1
george 2
her 4
in 1
issue 1
job 1
john 1
kerry 1
laying 1
learned 1
leaving 1
lesbian 1
life 1
made 1
marriage 2
mary 1
moving 1
of 4
on 2
only 1
openly 1
out 1
outrage 1
personal 1
pointers 1
presidential 1
protection 1
recounts 1
reelection 1
repudiation 1
samesex 1
she 8
staffer 1
staffers 1
stayed 1
supported 1
terror 1
the 8
to 2
up 1
use 1
w 2
war 1
way 1
what 1
when 2
worked 1
writes 1
