146188
/m/012mhj
/m/012mhj
Isaac Asimov
1955
132 3
145 1
20th 1
24th 2
30000s 1
30th 1
a 28
about 1
access 1
accessible 2
accompanying 1
acquiring 1
acrostic 1
actions 1
activities 1
actually 2
ad 1
adept 1
advance 1
after 1
agent 1
air 1
alien 1
all 1
allow 1
almost 1
also 3
alter 1
always 1
an 6
and 23
andrew 1
any 3
apart 2
apparent 1
apparently 1
appears 1
are 6
arrive 1
artifacts 1
as 6
asimovs 1
at 3
atom 2
atomic 2
aware 1
back 3
be 8
because 1
become 1
becomes 1
been 4
before 1
began 1
begin 1
being 1
believes 1
besotted 1
beyond 3
blocked 1
bomb 1
bombardment 1
bombs 1
both 1
brinsley 1
built 1
but 7
by 8
calculated 1
called 3
calming 1
can 1
cannot 4
capable 1
carefully 3
carry 2
caused 1
causes 1
causing 1
cease 1
centuries 5
century 8
certain 1
chain 1
change 8
changed 1
changes 2
choice 2
choose 1
choosing 1
chose 1
cloud 2
coded 1
collection 1
collective 1
collectively 1
colonize 1
comes 2
commencing 1
comparing 1
concealing 1
concept 1
concluding 1
confine 1
confirms 1
consequence 1
conventional 1
cooper 10
corps 1
could 2
council 1
couple 1
created 3
creation 3
creativity 1
cut 1
decide 1
decides 1
deduced 1
deleterious 1
demise 1
deny 1
denying 1
departs 1
deprive 1
detonated 1
develop 1
devoid 1
die 1
different 2
discovered 3
discovery 1
dispatch 1
diverted 1
does 1
doing 1
done 1
down 1
downwhen 2
drawing 1
earth 4
effect 3
element 1
elevator 1
emerge 1
emerges 1
empire 1
empty 1
encountered 1
end 1
enrico 1
enter 2
entering 3
entrapped 1
eras 1
erased 1
erroneously 1
especially 1
eternal 2
eternals 10
eternity 23
events 2
eventually 1
evident 1
exacts 1
execute 1
exist 1
existence 2
exists 1
experimenting 1
expert 1
experts 1
explained 1
explosion 1
facilitate 1
failure 1
far 1
feel 1
fermi 1
figure 1
filled 1
find 1
finds 1
first 3
flow 1
focus 1
for 4
form 1
found 1
freakish 1
from 14
frowned 1
fully 1
future 5
futurea 1
galactic 1
given 1
go 1
governing 1
guardians 1
guilt 1
had 4
harlan 18
harlans 3
has 9
have 1
he 13
help 1
her 4
herself 1
hidden 2
him 7
himself 3
his 10
historic 1
history 3
however 4
human 5
humanity 7
humans 2
if 1
improbable 1
improperly 1
in 28
increasingly 1
individuals 1
inhuman 1
instead 3
instructed 1
integrated 1
intellectual 1
intended 1
intends 2
interested 1
interstellar 1
into 4
inventor 1
involved 1
is 22
it 14
italy 1
its 3
itself 1
just 1
kettle 6
key 1
kill 1
kind 1
knowledge 2
known 1
laban 1
lambent 3
largely 1
last 1
later 2
lead 1
leaders 2
leading 2
learn 2
leave 2
leaving 2
letter 1
lies 1
life 1
lingering 1
linking 1
loved 1
lover 1
magazines 1
make 3
making 1
maladjustments 1
male 1
malice 1
mallansohn 2
man 1
manages 1
market 1
masthead 1
mathematical 1
means 1
merely 1
message 3
millions 1
minimize 1
minimum 1
mission 1
mistaken 1
moment 1
more 1
much 2
mushroom 2
must 1
named 1
nature 1
needs 1
neutronic 1
next 1
no 1
noneternal 1
nor 1
normally 1
nos 5
not 4
nothing 1
novel 1
nuclear 2
nucleonics 1
occasionally 1
occurs 2
of 41
off 1
on 6
once 2
one 3
only 1
ontological 1
or 2
orchestrated 1
order 2
organization 2
other 1
out 3
outside 1
over 1
paradox 1
particularly 1
past 2
people 1
perhaps 1
persuade 1
place 1
planned 1
platonic 1
plot 3
point 4
possible 1
power 1
predates 1
prefer 1
prehistory 1
preserved 1
presumably 1
prevented 1
price 1
principles 1
prior 1
protagonist 1
prove 1
publication 1
pursue 1
pursuit 1
quickly 1
random 1
rather 1
reactors 1
real 2
reality 9
recruited 1
relationship 1
relatively 1
repeated 1
rescue 1
retrieve 1
return 1
returned 1
revealed 1
reveals 4
safety 2
scapegoat 1
scheme 1
science 1
scrambles 1
section 1
secure 1
send 2
sending 1
serious 1
setting 1
settings 1
she 5
sheridan 1
since 3
smuggles 1
so 3
societies 1
someone 1
something 2
somewhat 1
sooner 1
sos 1
space 2
special 2
species 1
specific 1
staffed 1
stars 2
start 1
static 1
stock 1
story 2
stranded 1
strategic 1
study 1
subject 1
such 1
suffering 1
suffers 1
superior 1
superiors 3
suppressing 1
surprise 1
suspicions 1
sympathizes 1
system 1
talk 1
target 1
teach 1
technician 1
technicians 1
technologically 1
technology 3
tells 1
temporal 3
terminus 1
than 1
that 23
the 84
their 2
them 4
themselves 1
then 1
therefore 1
these 1
they 5
thin 1
think 1
this 8
those 1
thus 1
time 13
tipsall 1
title 1
to 43
too 1
trapped 3
travel 5
traveled 1
traveling 1
traverse 1
tries 1
trouble 1
troubled 1
twentyseventh 1
twissell 3
unbeknownst 1
unfolds 2
unintended 1
unknown 1
unless 1
unspoken 1
until 1
up 1
upon 2
upwhen 1
uranium 1
vanishes 1
various 1
version 1
very 2
via 1
vikkor 1
vital 1
was 6
watch 1
way 2
we 1
were 1
when 4
where 1
which 8
who 6
whole 2
will 11
with 8
within 3
woman 4
worded 1
world 2
would 3
wrong 2
year 1
years 1
yet 2
young 2
