13270606
/m/03c0016
/m/03c0016
Jacques Futrelle

13 1
a 3
achieves 1
agrees 1
aid 1
alfred 1
also 1
although 1
amazed 1
an 1
and 7
applied 1
around 1
as 1
asks 1
at 2
augustus 5
be 1
been 1
believe 1
cell 1
challenge 1
character 1
charles 1
confederate 1
debate 1
did 1
dr 1
dusen 1
elements 1
escape 1
escaping 1
everyone 1
experiment 1
explains 1
explanation 1
f 1
features 1
fielding 1
for 1
frequent 1
from 1
fully 1
futrelle 1
given 1
goal 1
great 1
had 1
happened 1
hatch 1
have 1
he 5
his 3
how 1
human 1
hutchinson 1
if 1
impossible 2
in 4
incarcerated 1
ingenuity 1
insists 1
is 5
it 2
key 1
leaves 1
like 1
machine 1
main 1
many 1
men 1
mind 1
most 1
newspaper 1
not 1
nothing 2
of 6
one 1
other 2
out 1
part 1
perspective 1
point 1
present 1
prison 2
problem 1
properly 1
prove 1
ransome 1
reporter 1
s 1
scientific 1
seen 1
short 1
smiles 1
smugly 1
states 1
stories 1
story 1
take 1
that 5
the 10
there 1
they 1
thinking 1
this 1
though 1
through 1
to 1
two 2
van 1
warden 2
ways 1
week 1
were 1
what 1
when 1
which 1
while 1
wholeheartedly 1
will 2
with 2
would 1
x 1
