5435751
/m/0dlr_6
/m/0dlr_6
Jules Verne
1870
115200 1
160000 1
a 12
achieving 1
adventures 1
again 1
alive 1
all 2
along 1
and 13
apparent 1
approach 1
ardan 4
are 5
as 2
asteroid 3
at 3
attraction 2
away 1
back 1
baltimore 1
barbicane 3
barren 1
be 2
become 1
becomes 2
been 2
before 1
begin 2
begins 3
believe 1
body 1
bottom 1
briefly 1
bright 2
bulletshaped 1
but 2
by 2
calculations 1
captured 1
cause 1
caused 1
celebrations 1
club 1
cold 1
collide 1
columbiad 2
conclude 1
course 1
craters 1
crew 1
darkness 1
days 1
dead 1
deaden 1
deviate 1
dips 1
discuss 1
disposing 1
distance 1
does 1
dog 1
during 2
earlier 1
earth 6
emerging 1
encounter 1
enters 1
equal 1
extreme 1
fall 4
few 2
fired 2
first 1
fiveday 1
fixed 1
for 1
force 1
found 1
four 1
from 5
gain 1
gases 1
geographical 1
giant 1
glasses 1
going 1
gravitational 2
gravity 1
greatest 1
gun 2
had 2
has 1
having 1
heat 1
hemisphere 2
hits 1
homecoming 1
hope 1
hopefully 1
hour 1
hundred 1
idea 1
including 1
inside 1
into 5
intoxication 1
is 4
it 8
its 3
journey 2
landing 2
late 1
later 1
latter 1
lavish 1
leading 1
leave 1
left 1
life 1
light 1
lost 1
luckily 1
lunar 1
making 1
men 2
meteor 1
michel 2
miles 2
minutes 1
misadventures 1
mission 1
moon 10
mouth 1
move 1
navy 1
neutral 1
nicholl 3
northern 1
not 1
observations 1
of 24
on 3
one 1
onto 2
opera 1
orbit 1
originally 2
out 3
over 1
part 1
passengers 1
passes 1
people 1
per 1
place 1
planned 1
plunged 1
point 2
possibility 1
projectile 12
propel 1
rather 1
reaches 1
rescued 1
rest 1
returning 1
rockets 2
safety 1
same 1
sea 1
second 1
seems 1
series 1
shadow 1
shock 1
sky 1
small 1
southern 1
space 1
spectacular 1
speed 2
spots 1
strike 1
suffering 1
susquehanna 1
than 1
that 3
the 59
their 3
them 2
then 2
thereby 1
they 5
this 1
three 4
to 17
too 1
towards 2
travelers 1
treated 1
trip 1
turns 1
tycho 1
undergo 1
upon 1
us 1
use 1
using 1
uss 1
vessel 1
views 1
voyage 1
were 1
when 1
which 3
window 1
with 4
within 1
yards 1
