2168301
/m/043tv9f
/m/043tv9f
Tana French
2007-05-17
{"/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
18 2
a 15
about 2
abused 2
across 1
actually 1
adam 3
admit 1
admitted 1
afraid 1
after 5
again 2
against 1
all 2
allows 1
almost 1
alone 1
along 3
already 1
also 4
always 1
amnesia 1
an 2
and 29
another 2
anothers 1
any 1
appeared 1
archeological 1
are 7
around 1
arrests 1
as 4
at 5
attacked 1
attention 1
avoid 1
awkward 1
back 4
bark 1
be 3
beat 1
because 1
becomes 1
bed 1
been 4
before 1
begun 1
being 1
best 1
better 1
blood 1
body 1
bordering 1
both 1
brags 1
but 8
by 6
called 1
calls 3
cant 2
captain 1
case 7
cassie 11
cassies 2
circles 1
clawing 1
clear 1
clearer 1
clip 1
coincidence 1
come 3
comes 1
comment 1
completing 1
confesses 1
confession 3
confines 1
construction 2
contends 1
cooking 1
couch 1
couple 1
crash 1
crime 1
dating 2
day 2
death 2
debt 1
denies 1
desk 1
despite 1
details 1
detective 1
detectives 1
deteriorates 1
devlin 1
dig 5
digging 1
dinner 1
disappearance 1
disappearances 1
disappeared 1
discover 1
discuss 1
do 1
down 1
drinking 1
else 2
emptyhanded 1
end 1
engaged 1
enough 1
escalate 1
estate 1
events 1
every 1
fact 1
failed 1
familiar 1
families 1
family 1
famous 1
famously 1
far 1
father 3
fathers 2
favorite 1
feels 2
few 2
find 1
fine 1
for 3
forensics 1
found 2
frantically 1
freaks 1
friends 6
from 3
frustratingly 1
get 4
gets 1
girl 1
girls 1
given 1
go 3
goes 4
gone 1
got 1
had 3
hair 1
happened 1
happy 1
has 4
have 6
having 2
he 11
heartbroken 1
heavy 1
hell 2
help 1
her 17
hes 1
highway 3
him 6
his 13
holds 1
home 1
housing 1
how 2
idea 3
if 2
immensely 1
in 12
insists 1
interrogation 2
into 1
invalid 1
investigate 1
investigated 1
investigation 1
involved 1
involvement 1
irish 1
is 12
it 6
its 1
jokeyinsult 1
just 2
katy 5
katys 3
keep 1
key 1
knows 1
late 1
laugh 1
leads 1
learned 1
lies 1
like 1
liked 1
lines 1
live 1
location 1
lost 1
lot 1
maddox 1
make 3
makes 1
many 2
marks 1
married 1
meant 1
media 1
memories 1
messes 1
middle 1
might 5
months 1
mother 1
motive 1
murder 3
murderer 1
name 1
near 1
nearby 1
nervous 1
never 3
new 2
night 2
nightmares 1
normal 1
not 1
novel 2
obviously 1
of 17
old 1
older 2
on 6
once 1
one 6
only 1
or 5
out 2
over 1
pair 1
partner 2
partners 1
partnership 1
people 1
pick 1
playing 1
plot 1
poisoned 2
police 2
possibilities 1
present 1
previous 1
previously 2
prior 1
promise 1
promises 1
protests 1
psyche 1
psychopathic 1
questioned 1
realization 1
recorded 1
regain 1
related 2
relationship 1
released 1
remember 1
rob 12
robs 3
romantically 1
room 1
rosalind 5
rosalinds 1
rumors 1
ryan 1
same 1
scene 1
scoff 1
search 1
see 1
sex 1
sexually 1
she 14
shed 1
shivering 1
shoes 1
shut 1
sick 1
sister 3
site 5
slash 1
sleep 1
sleeping 2
smile 1
smug 1
so 2
some 1
someone 2
spending 2
start 2
starts 1
station 1
straight 1
stride 1
strongwilled 1
students 2
suspect 1
suspects 1
takes 3
team 1
teasing 1
tell 2
telling 1
tendencies 1
that 19
the 55
their 6
them 3
then 1
there 2
therefore 1
these 1
they 7
thing 1
things 1
thinking 1
thinks 1
this 1
though 4
thoughts 1
three 2
through 1
time 2
to 34
told 4
too 1
tree 1
tries 2
turn 1
turning 1
twelve 2
twenty 1
twin 1
two 2
unable 2
uncover 1
up 4
updated 1
used 1
was 6
watch 1
way 1
ways 1
wearing 1
were 2
what 1
when 2
where 4
which 1
who 1
whole 1
whose 1
wine 1
wire 1
with 6
woods 3
work 2
would 3
wouldnt 1
year 1
yearold 1
years 2
