1192052
/m/04g1m5
/m/04g1m5
Frederick Forsyth
1994
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
10 1
10000 1
100000 1
2 1
3 1
5 1
a 19
able 2
aborted 1
about 1
account 4
accounts 1
actions 1
active 1
actually 1
admit 1
advise 1
agent 1
agents 1
agree 2
air 2
alienate 1
already 2
amam 1
american 3
americans 7
an 7
and 20
angloamerican 1
angry 1
anonymous 1
any 3
approximately 1
arab 4
arabia 1
arabic 1
are 1
as 6
ask 1
asked 1
assassinated 1
asset 1
assets 2
at 1
atomic 3
attach 1
attacked 1
babylon 1
baghdad 2
bank 2
banker 1
be 6
been 2
before 1
being 1
believe 1
believes 1
biological 1
black 1
bluffing 1
body 1
bomb 7
bombing 2
break 1
brigadier 1
british 1
brother 1
building 1
bull 1
but 6
by 4
california 2
called 2
calutrons 1
can 3
capability 2
carried 1
centrifuges 2
cia 1
citing 1
codenamed 2
comes 1
commits 1
committee 2
compartment 1
complexion 1
concludes 1
conditions 1
conjunction 1
could 2
cover 1
cyclotrons 1
dark 1
days 1
dead 1
decide 1
delay 1
deliverysuch 1
deny 1
desert 1
designs 1
desk 1
despite 1
destroy 2
destroyed 1
destroys 1
destruction 1
details 2
develop 1
did 1
die 1
director 1
discs 2
does 2
dr 1
drops 2
drugged 1
earlier 1
edith 1
embassy 1
end 1
enough 1
entire 1
existing 1
expert 1
f15 1
f15e 1
face 1
factory 1
fallout 1
favor 1
feels 1
feet 1
fighter 1
find 1
fire 2
fist 1
flown 1
fluent 1
for 5
forced 2
from 3
fun 1
fund 1
furious 1
gardener 1
gas 2
general 1
gerald 1
godinto 1
gone 1
government 2
grade 1
ground 2
had 2
hair 1
halo 1
handles 1
hardenburg 1
has 5
have 5
he 8
head 1
heavy 1
helped 1
her 2
hidden 1
him 6
his 12
hours 1
house 1
how 1
however 2
ideal 1
identify 2
if 3
important 1
in 13
information 2
intelligence 2
into 9
invade 1
invades 1
invasion 3
iran 1
iraq 12
iraqi 4
is 22
israel 2
israelis 1
it 10
its 2
jericho 9
jerichoif 1
jet 1
joint 1
joshua 2
jump 1
just 1
keeps 1
khatib 1
known 1
kuwait 2
kuwaiti 1
laboratory 1
land 1
large 1
lase 1
later 1
launching 1
lawrence 1
let 1
level 1
limited 1
list 1
livermore 1
located 1
location 3
lover 1
lowtech 1
made 1
major 4
make 2
man 1
manhattan 1
martin 7
mass 1
meanwhile 1
medusa 2
metal 1
mike 2
military 3
million 4
missile 1
mission 1
moment 1
more 1
mossad 7
most 1
moved 1
national 1
nations 2
need 1
never 1
new 2
no 1
norman 1
not 7
nuclear 2
nuke 1
obtain 1
of 16
offers 1
omar 1
on 4
once 2
one 3
only 2
operation 2
or 1
orders 1
out 5
over 1
overeager 1
own 1
owned 1
paid 2
panel 1
partthey 1
pass 1
past 1
paymasters 1
photocopy 1
photographs 2
picked 1
pilot 1
plan 1
plane 1
plentiful 1
political 1
possible 1
pretending 1
problem 1
project 2
purpose 1
put 1
quickly 1
radioactive 1
real 1
realized 1
realizes 1
reason 2
reasons 1
recalled 1
reconnaissance 1
refining 1
regarding 1
remained 1
repercussions 1
resistance 1
resolve 1
retired 1
reveal 2
reveals 4
roof 1
run 5
sas 1
satellites 1
saudi 1
schwarzkopf 1
scud 1
sea 1
seconded 1
secret 1
secretary 2
secretly 1
seduces 1
see 1
sent 1
series 1
serve 1
service 1
she 2
shortly 1
since 2
single 2
sis 1
site 1
situation 1
sneak 1
so 3
soldiers 1
solution 2
soviet 1
space 1
speak 1
special 1
spin 1
staged 1
stay 1
strange 1
strength 1
strictly 1
studies 1
successful 1
suicide 1
supergun 4
supply 1
supremacy 1
takes 1
taking 1
target 2
targeted 1
team 2
tell 1
tells 1
terry 2
that 8
the 65
their 2
then 3
they 10
third 1
this 2
though 1
threat 3
through 1
thrown 1
time 1
to 34
together 1
told 1
too 1
top 1
tormentor 1
transfer 1
tries 1
true 2
truth 2
turns 1
two 1
underground 1
underneath 1
unequivocal 1
up 2
uranium 2
usaf 1
used 3
veteran 1
vienna 1
viennese 2
volunteers 1
wanting 1
warfor 1
was 1
washington 1
weapons 3
weaponthe 1
weather 1
were 1
when 1
where 1
who 5
will 5
with 5
work 1
world 1
would 3
yellowcake 1
