32220639
/m/0gx_gyn
/m/0gx_gyn
Doris Lessing

{"/m/05hgj": "Novel"}
160s 1
a 14
abandoned 1
abound 1
acts 1
addition 1
adolescents 2
adult 1
adulthood 1
affair 1
affairs 1
africa 1
african 1
after 1
aids 1
alex 1
all 1
also 1
ambitions 1
an 4
and 21
andrew 3
anorexic 1
appearing 1
are 6
arrangement 1
as 7
assortment 1
at 3
atmosphere 1
attacks 1
audience 1
background 1
becomes 4
benefits 1
betrays 1
black 3
blind 1
both 2
boy 1
boys 2
branding 1
by 2
capitalism 1
captive 1
characters 2
classmates 1
colin 4
colourful 1
communal 1
communism 1
communist 3
comrade 1
continue 2
continuing 1
corrupt 1
corruption 1
countries 3
crippled 1
daughter 1
different 1
difficult 1
dire 1
disapproval 1
doctor 1
down 1
dropout 1
early 1
earthmother 1
economics 1
england 1
estranged 1
eventually 1
expropriated 1
family 2
farmers 1
farms 1
figure 2
filled 1
finance 1
finds 2
for 2
frances 6
franklin 2
free 1
friends 1
from 2
funding 1
funnel 1
gathering 1
german 1
gives 1
glamorous 1
graduate 1
gutterpress 1
hampstead 1
has 1
he 1
help 1
her 8
herself 2
his 6
home 4
homes 1
hospital 1
hotels 1
household 3
however 2
husband 1
illustrious 1
immensely 1
imperialists 1
impoverished 1
in 12
include 1
independentminded 1
international 1
into 2
is 9
johnny 7
journalist 1
julia 4
kitchen 1
large 1
later 1
leader 2
leaders 2
lennox 4
liberal 1
line 1
live 1
living 1
locals 1
london 2
lucrative 1
maintains 1
make 1
meals 1
meanwhile 1
member 1
ministers 3
mission 1
misuse 1
money 1
more 2
motherinlaw 1
move 1
nation 1
nations 1
natures 1
new 1
newlyarrived 1
newspaper 1
novelist 1
now 3
occasionally 1
of 13
offering 1
old 1
on 1
once 1
order 1
other 2
owing 1
place 1
pockets 1
political 1
position 1
poverty 1
povertystricken 1
presence 1
priorities 1
provide 1
rather 1
refugees 1
regular 1
replaced 1
returns 2
rigid 1
rose 1
scale 1
school 2
secondary 1
seventies 1
shares 1
she 1
shut 1
so 1
sons 2
spread 1
staying 1
strict 1
such 1
sylvia 2
table 1
than 1
that 2
the 27
theater 1
their 5
them 1
these 1
third 1
to 11
transition 1
travelling 1
trimble 1
turn 1
two 4
united 1
until 1
up 1
visited 1
wealthy 1
well 1
when 1
where 2
while 1
white 1
wife 1
with 7
wives 1
women 2
working 2
world 1
young 2
zimlia 4
