904322
/m/03nj2c
/m/03nj2c
Henrik Ibsen


100 1
a 26
able 1
about 4
accompany 1
acquainted 1
act 1
activity 1
acts 1
addition 1
adds 1
affair 4
after 2
again 2
ago 1
agrees 1
all 2
allowance 1
aloof 1
also 4
an 1
and 30
animals 1
announces 1
any 1
apartment 4
apartments 1
appalled 1
appear 1
are 2
argue 1
arguing 1
argument 1
arranged 1
arrives 3
as 4
asks 1
assumes 1
at 4
attended 1
attic 1
back 2
be 8
because 3
becomes 1
begins 1
begs 2
believing 1
birds 1
books 1
both 2
bottom 1
breastbone 1
bristles 1
built 1
burns 1
business 2
busy 1
but 4
by 10
calm 1
can 2
cannot 2
carried 1
certain 2
child 1
classmate 1
cling 1
clinging 1
completely 1
confesses 3
confronts 1
consumed 1
conversation 1
convince 1
copying 1
couch 1
could 1
couple 1
cozy 1
crowns 1
crushed 1
daughter 2
dawns 1
day 2
death 2
debts 1
decides 1
deeply 1
demands 3
despair 1
desperate 1
despite 1
details 1
determines 1
did 1
die 1
died 2
dinner 1
directly 1
distraught 1
dog 2
doing 1
domesticity 1
done 2
dote 1
dove 1
down 1
drink 1
drown 1
drunk 1
duck 10
during 2
eagerly 1
ekdal 7
ekdals 3
elder 1
embittered 1
emerges 1
enable 1
ends 1
enraged 1
entertains 1
escape 1
even 1
examine 1
exile 1
explains 3
eyesight 3
failing 1
family 8
fate 1
father 6
finally 1
finances 1
find 2
finds 1
fired 1
first 1
following 1
for 7
former 2
four 1
free 1
friend 1
friends 1
from 8
further 1
future 1
gather 1
gathering 1
getting 1
gina 9
girl 2
given 1
giving 1
goes 1
good 1
grandfather 1
grateful 1
great 2
greatest 2
greatness 1
gregers 17
ground 1
gun 1
haakon 2
had 3
handle 1
hanging 2
happiness 1
has 8
have 3
he 27
heads 1
health 1
hearing 1
hears 1
hedvig 15
help 1
helps 2
her 15
herself 1
him 8
himself 3
his 21
hjalmar 27
hkon 5
home 5
hosted 1
house 2
household 1
how 1
hunter 1
hunting 2
hunts 1
husband 1
idea 1
imaginary 1
immediately 1
implanted 1
in 19
independent 1
indulging 1
industrialist 1
initially 1
insists 4
intensely 1
intervention 1
into 1
intruders 1
invention 5
involved 1
is 18
it 6
its 1
itself 1
jobs 1
joins 1
joy 1
just 1
keep 2
keeping 1
keeps 1
knows 1
lake 1
learns 1
leaves 2
leaving 1
letter 2
lie 3
lies 1
life 4
lifelie 1
like 2
live 1
living 4
loft 6
long 1
longer 1
losing 1
love 1
loves 2
lunch 1
lying 1
make 1
makes 1
manage 1
married 1
marrying 1
match 1
materials 1
may 1
merchant 1
midst 1
molvik 2
month 1
mood 1
more 1
morning 1
most 1
mother 1
move 1
moving 1
mrs 1
much 1
neck 1
needs 1
never 1
news 3
next 3
no 3
none 1
not 6
notion 1
number 1
nursed 1
odd 1
of 13
off 1
often 2
old 6
on 11
one 1
opens 1
order 1
other 1
out 2
over 2
overjoyed 2
overwhelmed 1
pair 1
party 2
pay 1
paying 1
penetrated 1
pension 1
per 1
photographer 1
photography 2
pictures 1
pigeons 1
pistol 1
place 1
play 1
portrait 1
powder 1
prized 1
profession 1
providing 1
rabbits 2
realize 1
realizes 1
reconsider 1
related 1
relling 6
remainder 1
remaining 1
remembers 1
rent 1
rescued 1
retrieved 1
return 2
returned 1
returning 1
returns 2
reveals 3
room 2
run 1
runs 1
rush 1
sacrifice 2
school 1
seaweed 1
see 3
sees 1
selfimposed 1
servant 1
she 10
shirt 1
shoot 1
shot 6
shots 1
sickens 1
sight 1
slowly 1
sneers 1
so 1
son 1
sorrow 1
spare 1
speaks 1
specifies 1
spend 1
srby 1
stand 1
stayed 1
studio 1
stunned 1
such 1
suggesting 2
suggestion 1
suicide 1
take 1
talking 1
teeth 1
tell 2
than 2
that 26
the 79
their 4
there 2
they 4
think 1
thinks 1
though 1
thought 1
through 1
time 3
to 49
touched 1
traditionally 1
transferred 1
travels 1
tries 1
truth 2
try 1
tutor 1
unleashed 1
until 1
upon 2
vain 1
various 1
very 1
walk 1
was 1
wealthy 1
well 1
werle 8
what 1
when 1
where 2
which 3
while 3
who 2
whose 2
wife 1
wild 5
will 7
win 1
winged 1
with 16
within 2
without 1
work 3
worlds 1
would 1
wound 1
wounded 1
wounds 1
wring 1
year 1
young 1
