7248326
/m/025x5zg
/m/025x5zg
Evaline Ness

{"/m/016475": "Picture book", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 8
about 1
alive 1
also 1
and 7
apologizes 1
are 3
as 2
asks 1
at 1
bangs 3
becomes 1
believes 1
both 1
boy 3
busy 1
but 3
by 1
called 1
calls 1
can 3
cat 2
caught 1
cheers 1
child 1
claims 1
complete 1
cove 2
day 2
dont 1
eagerly 1
every 1
fantasies 1
fantastical 1
father 2
finally 1
find 1
fisherman 1
follows 1
for 1
found 2
frightened 1
great 1
have 1
he 1
help 1
her 9
herself 1
him 1
home 1
ill 1
importance 1
in 1
into 1
is 6
journey 1
kangaroo 1
keep 1
later 1
lead 1
little 2
lost 1
luckily 1
make 1
mermaid 2
moonshine 3
mother 2
motherless 1
neighbor 1
nottoodistant 1
now 1
of 3
on 1
one 2
opposed 1
people 1
pet 1
pleading 1
prefers 1
presume 1
pretends 1
readers 1
real 2
reality 1
recovery 1
return 1
safe 1
safely 1
sam 8
samantha 1
says 1
seastorm 1
she 3
showing 1
sick 1
something 1
tales 1
talk 1
tearfully 1
telling 1
tells 1
that 6
the 7
they 1
things 2
thomas 5
to 7
trouble 1
understands 1
unfortunately 1
up 2
usually 1
very 1
warns 1
well 1
when 1
where 1
who 1
will 2
word 1
