4163162
/m/0bmk60
/m/0bmk60
Jon mcgregor
2002
a 4
actions 1
ambiguously 1
an 2
and 4
another 2
are 3
becomes 1
by 1
character 1
characters 1
clear 1
course 1
covers 1
day 3
days 1
described 1
describing 1
discovered 1
during 1
english 1
eschews 1
first 1
from 1
gradually 1
happened 1
has 1
if 1
in 2
inner 1
instead 1
intercut 1
is 2
it 1
moving 1
named 1
narrates 1
narrative 1
narrator 1
nobody 1
not 1
novel 1
of 4
omniscient 1
one 1
over 1
past 1
person 2
pregnant 1
recently 1
refers 1
regularly 1
remarkable 1
resident 1
rest 1
sections 1
set 1
several 1
she 2
single 1
something 1
speaks 1
story 1
street 1
structure 1
terrible 1
that 2
the 5
their 1
these 2
things 1
third 1
this 1
to 2
traditional 1
unnamed 1
when 1
who 2
whose 1
with 1
woman 1
world 1
young 1
