750558
/m/0385y5
/m/0385y5
Walter Scott
1817
1715 1
18th 1
a 4
action 1
all 2
ambushed 1
an 2
and 10
are 1
army 1
around 1
as 3
associate 1
beautiful 1
because 1
been 1
before 1
best 1
bloodshed 1
bloody 1
british 1
broad 1
brutally 1
but 1
century 1
childhood 1
conditions 1
confusion 1
cousin 1
crosses 1
depiction 1
detachment 1
dialogue 1
diana 2
documents 1
early 1
economic 1
end 1
falls 1
father 3
figure 1
following 1
forced 1
frank 6
from 1
glossary 1
go 1
greatest 1
has 1
hiding 1
highland 1
hildebrand 5
his 3
honour 1
important 1
in 7
includes 1
inherits 1
into 1
is 6
it 1
jacobite 3
just 1
killed 1
known 1
loch 1
lomond 1
louis 1
love 1
loved 1
lowland 1
macgregor 1
marries 1
meets 1
mountains 1
much 2
mysterious 1
narrator 1
niece 1
northumberland 1
novel 4
novelists 1
of 10
osbaldistone 2
path 1
place 1
powerful 1
property 1
pursues 1
quarrels 1
rashleigh 4
realistic 1
regarding 1
rising 2
rob 1
robert 2
roy 2
scotland 3
scottish 2
sent 1
several 1
shifts 1
sir 5
social 1
solvency 1
some 1
sons 1
stay 1
steals 1
stevenson 1
story 1
sympathies 1
takes 1
the 16
there 2
this 1
times 1
to 5
too 1
turmoil 1
uncle 1
valleys 1
vernon 1
vital 1
whose 1
william 1
with 4
words 1
