277696
/m/01pk4g
/m/01pk4g
Nathaniel Hawthorne
1850
a 40
about 2
acknowledge 1
act 1
adding 1
adultery 3
affair 1
affairs 1
after 2
afternoon 1
again 2
ahead 1
ailing 1
all 2
alone 1
along 1
also 3
america 1
an 5
and 50
angel 1
anguish 1
another 1
anyway 1
apparent 1
appears 1
are 2
aristocrat 1
arms 2
arrive 1
arthur 1
as 9
asks 2
assumed 1
at 1
atop 1
attaches 1
attempt 1
away 2
back 1
badge 1
basks 1
be 4
because 1
beckons 1
been 3
before 2
begins 1
begun 1
being 1
beside 1
between 2
birth 1
booked 1
boston 6
both 3
breaks 1
breast 1
brook 1
built 1
burial 1
buried 1
burned 1
but 4
buttons 1
by 6
calling 1
can 4
care 1
caused 1
century 1
chapel 1
charitable 2
chest 2
child 3
chillingworth 13
church 1
clearly 1
cloth 1
clouds 1
coincide 1
cold 1
come 2
committed 1
community 4
completely 1
condition 1
confesses 1
connection 1
consensus 1
convinces 1
correct 1
cottage 2
crowd 1
daughter 6
day 3
days 1
deathbed 1
decide 1
decorated 1
deeds 1
deepens 1
died 1
dies 3
different 1
dimmesdale 16
discovers 1
discussion 1
distance 1
distress 1
divulge 1
does 4
down 1
dress 1
dull 1
dust 1
each 1
earned 1
elderly 2
election 1
elicit 1
eloquent 2
encounter 1
end 1
enters 1
especially 1
established 1
europe 2
european 1
even 2
eventually 1
ever 1
expels 1
explaining 1
exposing 1
expressly 1
family 2
father 1
fathers 1
feel 2
feels 1
figure 1
finally 1
find 1
flee 1
flesh 1
foolish 1
for 9
forehead 1
forest 1
forgive 1
former 2
four 1
frank 1
from 9
frustrated 1
gather 1
gives 1
go 1
goes 2
gown 1
grave 2
ground 2
grows 1
had 4
hair 1
hand 1
hands 1
happened 1
happening 1
harangued 1
has 10
have 4
he 20
heart 1
help 1
her 37
herself 1
hester 30
him 7
himself 4
his 15
holiday 1
home 1
honor 1
however 4
humility 1
husband 5
identify 1
identity 5
if 1
ill 1
illuminate 1
immediately 2
impish 1
in 22
indiscretion 1
infant 1
informs 1
inherits 1
intellectual 1
interpreted 1
intervene 1
into 3
invents 1
is 25
it 8
john 1
join 1
joy 1
keep 1
king 1
kiss 1
kisses 1
knowing 1
known 1
knows 3
later 1
laws 1
leading 1
learn 1
learned 1
leave 1
leaving 1
led 2
lets 1
letter 11
letters 1
liberation 1
life 3
like 2
link 1
live 3
lived 1
lively 1
looks 1
lost 1
love 1
lover 4
lovers 1
make 1
man 2
manage 1
many 1
mark 1
marks 1
married 1
marry 1
matter 1
may 2
mean 1
meaning 1
meantime 1
meanwhile 1
medicates 1
medicine 2
meteor 1
mingle 1
minister 5
missing 1
money 1
most 1
mother 6
mounts 1
moves 1
much 1
mysterious 1
name 2
named 1
near 2
nearby 1
new 2
next 1
night 3
no 2
not 6
now 1
occasional 1
of 24
off 1
officials 1
old 5
older 1
on 8
one 5
onlooker 2
onto 1
other 2
out 2
outskirts 1
own 1
pass 1
passage 1
patient 1
pearl 18
plan 1
playing 1
points 1
practice 1
practicing 1
preaches 1
press 1
pretense 1
prison 1
prominent 1
promise 1
provide 1
prynne 1
psychological 2
public 1
publicly 3
punish 1
punished 1
punishment 2
puritan 1
quiet 1
rag 1
reader 1
real 1
receives 1
recognize 1
red 1
refuses 5
relationship 1
release 2
relief 1
removes 1
represents 1
reprieve 1
request 1
resolves 1
responds 1
resumes 1
returning 1
returns 1
reveal 2
reveals 1
revenge 1
right 1
roger 1
roundtheclock 1
rumored 1
said 1
sail 1
sailing 1
same 1
scaffold 4
scarlet 6
scorn 1
sea 1
seamstress 1
seared 1
second 1
secrecy 1
secret 2
see 3
seemingly 1
sees 3
selftorment 1
sense 2
sent 1
sermon 2
served 1
settlement 1
settles 1
settling 1
seven 1
seventeenth 1
several 1
shamefor 1
shaming 1
shape 1
she 14
ship 3
shriek 1
shunned 1
sin 1
sina 1
since 1
sins 2
sky 1
sleepers 1
sleeps 1
small 1
so 1
something 1
space 1
standing 1
starts 1
states 2
stating 1
stay 1
still 1
stop 1
story 1
stranger 1
stroll 1
subsequent 1
suffers 1
suggests 1
sun 1
sunken 2
sunshine 1
supports 1
supposedly 2
suspects 1
suspicions 1
symbol 1
take 2
test 1
than 1
that 20
the 71
their 2
them 1
then 1
there 3
they 7
thinks 1
this 1
though 2
three 1
through 3
to 46
together 1
tombstone 2
torments 1
tortures 1
town 6
townsfolk 1
townspeople 2
tragic 1
trees 1
tries 1
trouble 1
true 4
trying 1
two 1
unable 1
undescribed 1
unknown 1
unnerved 1
until 2
uppercase 1
visit 1
waiting 1
walks 1
was 4
wash 1
wasting 1
wearing 1
what 3
when 3
where 2
which 3
while 2
whilst 1
who 5
whose 1
will 4
willful 1
winthrop 1
with 12
within 1
without 1
woman 2
women 1
woods 1
work 1
working 1
worsening 1
wrong 1
wronged 1
year 1
years 3
yet 2
young 2
