4904565
/m/0ctfpy
/m/0ctfpy
Joe Dever
1987
a 3
after 1
again 1
and 4
any 1
as 1
be 1
become 1
behind 1
being 1
bring 1
by 1
castle 1
creatures 1
danarg 1
darklords 1
death 1
deep 1
delivered 1
elder 1
evil 1
fetid 1
for 1
has 1
have 1
hidden 1
home 1
in 1
increasing 1
is 2
its 1
jungle 1
jungleswamp 1
known 1
leader 1
location 1
lone 2
lorestone 2
magi 1
magnamund 1
make 1
matters 1
may 1
new 1
news 1
now 1
number 1
of 4
out 1
over 1
perils 1
protect 1
reader 1
seek 2
sense 1
soon 1
surviving 1
swamp 1
temple 1
that 1
the 10
third 1
this 2
thought 1
to 4
treasures 1
tutored 1
united 1
urgency 1
war 1
who 1
within 1
wolf 2
worse 1
years 1
