2594896
/m/07qh5j
/m/07qh5j
Mary Stewart
1970
{"/m/02p0szs": "Historical fiction", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 11
abused 1
age 1
also 1
ambrosius 8
and 10
appears 1
are 1
arthur 1
as 6
assists 1
at 1
attempting 1
attributes 1
aurelianus 1
bastard 1
be 2
become 1
becomes 3
below 1
beneath 1
besotted 1
between 1
birth 1
blood 1
brief 1
britain 4
brittany 2
brother 1
build 1
built 2
but 4
by 3
captured 1
castle 1
cause 1
caves 1
chaos 1
child 2
clairvoyant 1
collapse 1
comet 1
cornwall 1
court 1
covers 1
days 1
death 1
defeat 1
defeats 1
devil 1
dies 1
dinas 1
divided 1
dragons 1
duchess 1
due 1
duke 1
each 1
earthly 1
educated 1
emrys 1
engineering 1
enter 1
eventually 1
exiled 1
father 2
finds 2
for 1
fort 2
fortress 1
foundation 1
from 1
fulfilled 1
galapas 2
gifts 1
goes 1
ground 3
has 2
have 1
he 4
heir 1
helps 1
her 1
hermit 1
high 2
him 2
his 8
however 1
husband 1
illegitimate 1
in 4
into 2
invade 1
invades 1
is 10
it 2
its 1
killed 1
king 4
kingdoms 1
knowing 1
known 1
later 1
lead 1
left 1
loosely 1
man 1
merlin 12
mother 1
mystics 1
name 1
neglected 1
newly 1
night 1
no 1
novel 1
now 1
number 1
occasionally 1
of 8
often 1
on 1
only 1
or 1
parentage 1
pendragon 1
plans 1
powers 1
preparations 1
princess 1
problems 1
prophet 1
psychic 1
realises 1
rebuild 1
recently 1
referred 1
refuses 1
relationship 1
reluctantly 1
result 2
returns 1
revealed 1
romans 1
sacrifice 1
sacrificed 1
saxon 1
say 1
sixth 1
skills 1
sky 1
small 1
son 3
soon 2
spilt 1
stealth 1
stonehenge 1
supporter 1
teaches 1
that 2
the 18
there 1
these 1
this 2
thrown 1
time 1
tintagel 1
to 14
under 1
unify 1
united 1
unknown 1
unstable 1
until 1
use 2
uses 1
usurper 1
uther 5
visions 3
vortigern 5
walls 1
war 1
way 1
well 1
welsh 1
when 3
which 2
who 3
will 2
with 3
year 1
ygraine 1
young 1
