842878
/m/03g7v2
/m/03g7v2
John Sladek
1983
178 1
26 1
a 7
abrahm 1
academic 1
after 2
akin 1
alphabet 1
also 3
amusement 1
an 2
analyze 1
and 14
antihero 1
any 1
apparent 1
appetites 1
are 4
artistic 1
as 3
asimov 6
be 2
becomes 1
been 1
begins 1
behavior 1
being 1
believing 1
benign 1
bloodshed 1
book 2
books 2
both 1
by 2
can 1
care 1
cause 1
chaos 1
chapter 1
chapters 1
character 1
circuits 1
circuitsmdasha 1
collective 1
commits 1
complex 1
consecutive 1
constrained 1
contains 1
could 1
crimes 1
cruel 1
decides 1
delusion 1
do 1
domestic 1
drop 1
each 1
earlier 1
elected 1
essay 1
exactly 1
extreme 1
fact 1
faithful 1
fiction 1
fictional 1
finally 1
finds 1
first 3
for 1
form 1
from 1
gleefully 1
hardwired 1
have 2
he 3
health 1
hideous 1
him 2
his 1
housepainter 1
how 1
humanity 1
humans 2
humansmdashtiktok 1
i 1
in 5
including 1
insight 1
intellectual 1
intelligent 2
into 2
is 6
isaac 1
it 2
journal 1
kenter 1
laws 3
letter 1
liberation 1
like 1
love 1
made 1
makes 1
man 1
manipulating 1
may 1
mechanical 1
mocks 1
moral 1
move 1
named 1
nihilist 1
no 1
notion 2
novel 2
of 15
or 1
originally 1
other 1
oz 2
partly 1
paul 1
play 1
pleases 1
president 1
principles 2
privatization 1
proposed 1
protect 1
provides 1
question 1
rape 1
read 1
reality 1
reference 2
relatively 1
religion 1
require 1
robot 2
robotics 3
robots 7
roderick 1
romantic 1
satirizes 1
science 1
secretly 1
servant 2
serve 2
sladek 3
slavery 1
social 1
sociopath 1
states 1
status 1
stuart 1
studies 1
such 1
suggesting 1
suggests 1
talent 1
that 4
the 22
there 1
they 1
this 1
three 4
through 1
thus 1
tiktok 4
title 1
to 7
tradition 1
tricked 1
type 1
united 1
unlike 1
until 1
using 1
various 1
vice 1
victims 1
view 1
was 1
way 1
wealthy 1
which 3
while 1
who 1
whose 1
with 2
word 2
words 1
worked 1
works 1
worst 1
would 2
