854367
/m/03hgpc
/m/03hgpc
J. P. Donleavy

{"/m/02xlf": "Fiction"}
140s 1
a 4
aftermath 1
also 2
american 3
an 1
and 5
as 1
at 2
author 2
based 1
be 2
believed 1
bohemian 1
book 2
books 1
broadly 1
but 2
by 3
college 1
colossi 1
commonly 1
considered 1
contemporaries 1
crist 1
dangerfield 3
daughter 1
descent 1
donleavy 3
dos 1
dublin 2
encounters 1
end 1
english 1
ernest 1
fairy 1
fairytale 1
fictionalised 2
follows 1
friend 1
gainor 1
ginger 1
gives 1
hemingway 1
hero 1
hiatus 1
his 2
history 1
in 3
incognita 1
infant 1
inspired 1
irish 1
is 3
it 1
john 2
kirsty 1
late 1
later 2
law 1
lifelong 1
literature 1
living 1
maccoll 1
macgowan 1
man 1
map 1
may 1
misadventures 1
more 1
new 2
not 1
of 15
often 1
on 1
only 1
out 1
part 1
particularly 1
passos 1
pogues 1
portrayal 1
protestant 1
racy 1
recorded 1
represented 1
roar 1
sebastian 1
second 1
sexual 1
shane 1
some 1
song 1
spell 1
steinbeck 1
stephen 1
studying 1
tale 1
terra 1
the 15
thinly 1
this 1
to 1
told 1
trinity 2
us 1
version 1
war 1
which 1
wife 1
with 1
world 1
york 2
young 1
