21807706
/m/05p7pzc
/m/05p7pzc
Irvine Welsh
2008
{"/m/05hgj": "Novel"}
10yearold 1
a 8
abandons 1
across 1
after 2
all 1
an 2
and 4
apartment 1
are 1
argument 1
at 1
back 2
bar 2
binge 1
breakdown 1
but 1
by 2
case 2
child 1
cocaine 1
costs 1
daughter 1
detective 1
drugs 1
edinburgh 2
exclusive 1
fiance 1
fight 1
florida 1
from 2
girl 1
goes 1
had 1
haunted 1
have 1
he 3
her 1
him 1
his 1
home 1
hornets 1
in 7
induced 1
inspector 1
interested 1
interrupted 1
into 1
is 3
just 1
left 1
lennox 4
like 1
marina 1
meets 1
mental 1
murder 1
must 1
nest 1
now 1
of 3
on 2
one 2
only 1
paeodophiles 1
place 1
planning 1
protect 1
ray 1
recovering 1
right 1
similar 1
state 1
strangers 1
stress 1
takes 1
taking 1
that 1
the 6
their 2
them 1
they 1
tianna 1
to 3
trudi 1
two 2
vacation 1
walks 1
wedding 1
where 1
with 1
women 2
