14342758
/m/03d12_n
/m/03d12_n
Lawrence Durrell
1974
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 11
about 3
actually 1
after 1
akkad 2
an 2
and 9
another 3
arrangements 1
as 2
at 1
attending 1
author 1
avignon 2
becomes 1
been 1
begat 1
blanford 1
book 1
brotherinlaw 1
bruce 4
but 1
by 2
chapter 1
character 1
composed 1
consists 1
continuing 1
cult 1
dead 1
desert 1
dines 1
dinner 1
discussing 1
documents 1
drexel 1
duchess 1
egypt 1
ends 1
envoi 1
explain 1
extended 1
failed 1
fiction 1
fictional 1
final 1
first 2
for 1
fragmentary 1
friend 2
funeral 1
gives 1
gnostic 2
green 3
group 1
has 2
he 3
highly 1
his 6
in 11
initially 1
initiates 1
institutionalized 1
interrupted 1
into 2
introduces 1
is 9
journey 3
knights 1
largely 1
last 1
later 1
learning 1
life 2
list 1
livia 1
long 1
love 1
lover 1
macabru 2
marriage 1
materials 1
meet 1
misadventures 1
monsieur 1
narrator 1
necessary 1
new 1
nile 1
notebook 3
notes 1
novel 5
of 4
old 1
on 2
or 1
order 1
outremer 1
parallels 1
pia 1
piers 2
preceded 1
presents 1
previous 1
provence 1
quartilla 1
recalls 2
recounts 1
reminiscing 1
renders 1
resolution 1
returning 1
returns 3
revisits 1
rhone 1
rich 1
rituals 1
robin 1
scenes 1
second 1
section 5
sister 1
some 1
stylistically 1
suicide 1
sutcliffe 5
sylvie 2
takes 1
templar 1
text 1
that 4
the 20
them 3
theme 1
theory 1
there 1
they 1
this 4
three 1
throughout 1
time 1
to 8
toby 3
tu 1
unless 1
unrevised 1
various 1
venetian 1
venice 1
was 1
well 1
were 1
when 1
where 1
which 3
while 1
who 4
whom 1
wife 1
winter 1
with 5
without 1
writing 1
written 1
