18089226
/m/04crmts
/m/04crmts
Desmond Bagley
1982
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
40 1
a 4
about 1
african 1
an 1
and 3
arrival 1
being 1
benefactor 1
beyond 1
california 1
college 1
conspiracy 1
consultant 1
descendant 1
dirk 1
discovered 1
far 1
farreaching 1
from 1
greed 1
heirs 1
hendricks 1
hendrix 1
henry 2
his 1
impostor 1
in 3
is 2
kenya 2
legacy 1
main 1
man 1
max 1
mere 1
million 1
mysterious 1
novel 1
of 2
points 1
pound 1
reaction 1
recently 1
remote 1
rift 1
security 1
sinister 1
small 1
source 1
south 1
stafford 1
suspicious 1
the 7
this 1
to 2
unknown 1
valley 1
violent 1
was 1
were 1
