32903764
/m/0h5356l
/m/0h5356l
Ernest Cline
2011-08-16
180s 1
2044 1
a 6
almanac 1
amount 1
an 1
and 12
anorak 2
are 3
as 4
assist 1
avatar 1
be 1
becomes 1
begin 1
book 1
by 2
can 1
collect 1
controlling 1
copper 1
created 1
creation 1
crystal 1
culture 2
decade 1
devote 1
dies 1
dubbed 1
easter 1
economy 1
egg 4
enormous 1
evolved 1
family 1
for 2
formerly 1
fortune 1
game 1
games 1
gaming 1
gates 1
great 1
gregarious 2
grew 1
gss 2
gunters 2
halliday 5
has 1
have 1
heirs 1
hidden 1
his 1
hope 1
hunt 1
hunters 1
immediately 1
in 6
internet 1
into 1
involved 1
is 2
it 1
its 1
jade 1
james 2
keys 1
known 3
leaves 1
living 1
locating 1
massive 1
matching 1
morrow 1
multiplayer 1
nearruins 1
no 1
oasis 4
obsessed 1
of 4
ogden 1
on 1
online 1
or 1
other 1
pass 1
people 1
perpetually 1
pop 1
purports 1
puzzles 1
receive 1
recession 1
referred 1
resources 1
says 1
scarce 1
search 1
searching 1
simulation 2
solving 1
stake 1
studying 1
suddenly 1
systems 1
taken 1
that 3
the 15
them 1
this 1
those 2
three 1
through 1
throughout 1
time 1
to 4
toll 1
truncation 1
universe 1
up 1
video 2
volume 1
was 2
which 1
whoever 1
will 3
with 4
world 2
written 1
year 1
