2642575
/m/07tt1l
/m/07tt1l
Ben Mezrich


a 29
ability 1
about 4
accident 1
across 1
activate 1
affect 1
affected 2
after 17
aids 1
all 2
already 1
also 2
ambulance 1
an 4
and 24
antagonist 1
are 5
area 2
armed 1
army 1
around 1
as 4
at 4
attacks 1
autopsty 1
away 1
back 2
backdoor 2
barely 2
barnes 1
battered 1
be 1
because 3
become 1
becoming 1
been 1
before 1
begin 2
begins 3
being 1
belief 1
believe 1
beta 1
between 1
big 6
bit 1
blood 1
bodies 1
boston 1
both 1
brain 2
break 2
breaking 1
brother 1
bruise 1
building 3
burn 1
but 2
by 10
calcified 1
calcify 1
capable 2
car 2
card 1
case 1
causes 1
causing 1
cav 7
cells 1
charles 1
chase 1
chest 1
civilization 1
claims 1
classifies 1
cliffhanger 1
code 3
come 1
companies 1
complete 1
computer 5
computers 2
conspiracy 1
contradict 1
control 2
controversy 1
corporations 1
couldnt 1
craig 1
crestes 1
crowd 1
dangerous 1
data 1
day 1
dead 1
decide 1
decides 1
deep 1
deeper 2
degree 1
denies 1
destroy 1
dickerson 1
died 1
disaster 1
discover 2
discovering 1
discovers 1
disease 1
diseases 1
dismisses 1
do 1
done 1
down 4
drained 1
during 1
each 1
easily 1
elctrocuting 1
employees 2
emt 1
end 2
ends 2
enough 2
entered 1
entire 1
erupts 1
eventually 3
every 1
everybody 1
evolving 1
exboyfriend 2
extended 1
face 1
faces 1
fact 1
family 1
fellow 1
few 2
fiber 2
files 1
finally 1
find 2
fired 1
for 4
friend 1
from 2
front 1
function 1
funding 1
general 1
get 1
getting 6
go 4
going 1
good 1
group 2
gunfight 1
gunmen 1
had 3
half 1
hand 1
happens 1
harassment 1
has 5
have 1
having 1
he 6
held 2
help 1
helping 1
helps 1
her 7
high 1
him 3
his 3
hit 1
horribly 1
hospital 3
hostage 1
hour 1
humans 1
illegally 1
in 13
infection 1
infectious 1
information 2
injured 1
institute 1
into 8
investigation 1
is 23
it 4
its 1
itself 1
janitor 1
jeffery 1
jennifer 1
joining 1
key 1
keyboards 1
kill 1
killed 3
killer 1
killing 2
know 1
knows 1
later 1
lawyers 3
lead 1
leader 1
leaders 1
learn 3
learns 1
leaving 1
lenear 1
lets 1
life 2
light 2
lost 1
main 1
make 1
man 1
marcus 4
married 2
medical 1
meeting 1
melora 4
microbiology 1
microsoft 2
military 1
minutes 1
most 1
move 1
named 1
nearly 1
ned 4
needed 1
nick 16
nine 1
now 3
observe 1
of 25
off 1
office 3
officers 2
on 11
oncoming 1
one 2
only 3
opens 1
operation 2
optic 1
optics 1
or 3
order 1
other 3
our 1
out 2
outbreak 1
outdone 1
over 1
own 1
parkridge 1
passes 1
pattern 1
patterns 1
pcs 1
people 4
photos 1
plan 2
police 1
preparing 1
president 1
previous 1
produces 1
programmer 1
programmers 1
project 1
protagonist 1
protocol 1
quarantine 3
react 1
ready 1
reaper 5
releasing 1
research 2
revenge 1
rhinovirus 1
rifle 1
right 1
run 2
samantha 11
save 2
saved 1
saving 2
scene 1
search 1
see 1
selfaware 1
sending 1
she 3
shoot 1
shoots 1
shows 1
shut 2
since 1
slip 1
so 1
soldiers 1
speak 1
speed 1
starts 1
state 1
stop 2
story 2
subliminal 1
such 1
suddenly 1
suffered 1
survivor 1
suspended 1
suspension 1
system 6
tactic 1
take 2
taken 2
takes 2
task 1
tasks 1
teal 5
technologies 1
technology 1
telecon 5
tells 1
terrifies 1
test 2
than 1
that 16
the 79
their 3
them 4
themselves 1
then 4
they 13
this 3
those 1
thousands 1
through 1
thrown 1
time 2
to 38
too 2
took 1
tracking 1
trance 1
treating 1
tries 2
trying 2
turn 5
turns 1
two 1
type 1
unaware 2
up 8
us 1
usamriid 1
use 2
using 3
very 1
vicious 1
victim 2
virus 8
was 4
washington 2
weak 1
weapon 1
what 3
whats 1
when 2
where 2
while 3
who 4
wife 1
winding 1
with 5
woman 4
womans 1
world 3
wreck 1
zone 1
