44472
/m/0c3rf
/m/0c3rf
John Irving
1978
{"/m/0488wh": "Literary fiction"}
161 1
a 22
according 1
adultery 1
after 4
agitation 1
all 1
allboys 1
almost 2
alone 1
also 2
among 1
an 1
and 20
another 2
anxiety 2
appear 1
are 1
arousal 1
as 8
at 1
autobiography 1
autonomic 1
ball 1
bears 1
become 1
becomes 2
becoming 1
bensenhaver 1
bind 1
book 2
brain 1
but 1
by 4
care 1
castration 1
chains 1
change 1
chapter 1
characters 2
child 3
children 1
chooses 1
coach 1
combat 1
comfortable 1
common 1
complex 1
contains 2
convention 1
culminating 1
cut 2
damaged 1
dangers 1
dark 1
daughter 1
deals 1
decidedly 1
desire 2
devoted 1
dickensian 1
does 1
driven 1
dying 1
elevenyearold 1
ellen 1
encounters 1
england 2
english 1
events 2
exfootball 1
experience 2
face 1
familiar 1
family 2
famous 1
fate 1
feminist 1
feminists 1
fictional 1
fictionmdashthree 1
fields 1
first 3
for 3
founds 1
framed 1
from 2
garp 11
girl 1
graduation 1
gratifies 1
grillparzer 1
group 1
grow 1
grows 1
gunner 1
harrowing 1
has 1
having 1
he 3
helen 1
her 6
herself 2
him 3
his 15
husband 1
icon 1
impregnate 1
in 14
including 1
inevitably 1
infantile 1
interest 1
interested 1
intolerance 1
irving 3
is 3
jamesians 1
jenny 4
john 1
keep 1
kindness 1
known 1
lamentable 1
large 1
learns 1
life 3
little 1
lunacy 1
makes 1
making 1
man 1
manifesto 1
manually 1
marries 1
matter 1
memorable 1
men 1
michael 1
milton 1
more 1
most 2
mother 5
motif 1
motifs 1
muldoon 1
named 1
names 1
narratives 1
new 2
not 2
novel 3
novella 2
novels 1
nurse 1
nurses 1
nurtures 1
observing 1
obvious 1
of 16
off 2
often 1
on 1
one 1
only 2
own 1
painful 1
painfully 1
parent 1
part 1
passing 1
pension 1
people 1
perpetual 1
player 1
plays 1
plot 1
position 1
possible 1
practicality 2
protagonist 1
publication 1
raise 1
raises 1
rapists 1
reducing 1
resonate 1
response 1
resultant 1
return 1
rich 1
ridiculous 1
roberta 1
s 2
safe 1
safety 1
scenes 1
school 2
sergeant 2
several 2
severely 1
sex 2
sexual 3
she 5
short 1
silence 1
some 1
sometimes 1
son 1
sorrow 1
spans 1
standing 1
starts 1
state 1
steering 2
still 1
story 3
strongwilled 1
struggling 2
support 1
supports 1
suspect 1
t 2
takes 1
taking 1
teacher 2
technical 2
that 2
the 26
their 1
them 2
there 1
they 1
through 1
times 1
tincture 1
to 10
tolerant 1
tongue 1
tongues 1
too 1
topics 1
transsexual 1
traumatized 1
trope 1
truth 1
turret 1
unconstrained 1
uninterested 1
up 1
uses 1
vienna 2
view 1
vigilance 1
violent 1
wants 1
was 2
well 1
where 1
which 2
who 6
whole 1
whose 1
with 4
woman 1
women 3
words 1
world 2
wrestling 4
writer 1
writes 1
writing 2
young 1
