4255637
/m/0bsn8p
/m/0bsn8p

1964
{"/m/05qfh": "Psychology"}
1 1
2 1
3 1
300 2
302 1
a 20
absorbs 1
actually 1
adult 2
adulttoadult 1
aint 1
all 1
an 1
analysis 2
and 10
appear 1
are 2
as 6
awful 1
b 2
basically 1
be 1
behavior 1
behaviors 1
being 1
berne 1
bill 1
bitch 1
book 3
boss 1
both 1
briefly 1
but 2
by 1
bystanders 1
can 1
casual 1
catalogues 1
child 1
childlike 1
conceal 1
confusion 1
controlling 1
conversation 1
counterproductive 1
customer 1
dealing 1
describes 1
describing 1
discovers 1
discusses 1
do 1
dont 1
each 1
ego 1
egostate 2
employees 1
engender 1
entire 2
error 1
even 1
example 3
first 2
fixed 1
for 1
from 1
game 4
games 2
got 1
half 2
has 1
he 2
his 2
holding 1
holds 1
hostage 1
humorous 1
if 1
in 8
include 1
instead 1
interact 1
interactions 2
interpreting 1
introduces 1
involved 2
is 8
issue 2
it 2
ive 1
job 1
just 1
known 1
larger 1
lead 1
light 1
made 2
makes 1
many 1
may 1
me 1
method 1
mind 2
minor 2
mistake 4
more 1
motivations 1
much 1
named 1
negative 1
normal 1
not 1
now 1
obedience 1
of 16
often 2
on 1
one 2
oneonone 1
or 5
other 1
outcome 1
parent 2
part 2
parties 2
pastimes 1
patterned 1
pay 1
paying 1
people 2
person 1
phrases 1
plausible 1
played 1
plumber 2
postulates 1
predictable 2
price 1
private 1
procedures 1
reality 1
remain 1
responses 1
returns 1
rituals 1
roles 2
second 1
see 1
selfabased 1
series 2
serious 1
significance 1
social 2
son 1
specifically 1
staff 1
states 1
such 1
superficially 1
switching 1
talks 1
tantrums 1
that 4
the 24
these 2
they 1
this 1
three 1
through 1
to 8
traced 1
transactional 1
transactions 2
underestimating 1
unless 1
unlikely 1
until 2
up 1
uses 1
usually 1
way 2
welldefined 1
what 1
where 1
which 4
who 1
why 1
will 1
winner 1
with 1
wont 1
yes 1
you 3
younbsp 1
