5128402
/m/0d4206
/m/0d4206
Janny Wurts
1994-01
a 8
after 1
again 1
against 2
allow 1
alternative 1
an 1
ancestors 1
ancient 1
and 9
apart 1
apprenticed 1
are 1
arithon 8
army 3
arrive 1
as 1
aside 1
assumes 1
athera 4
battles 1
becomes 1
binding 1
binds 1
bloodlines 1
born 1
botched 1
both 1
bounty 1
brother 1
brothers 2
by 2
capture 1
cast 1
cause 1
ceremony 1
cities 1
clans 5
cloaked 1
command 1
common 1
containment 1
crippled 1
crowning 1
curse 2
departing 1
differences 1
disguise 1
during 1
dwelling 1
enmity 1
ensue 1
escaped 1
eventually 1
exact 1
extinction 1
fellowship 2
find 1
finding 1
first 1
five 1
flees 1
fog 1
follow 1
for 1
forces 1
forest 1
found 1
fratricidal 1
free 1
from 2
fulfill 1
gate 1
gathers 1
gifts 1
greater 1
guerilla 1
guides 1
guilt 1
halfbrother 1
halfbrothers 1
has 1
hatred 1
he 1
help 1
high 1
his 4
horrific 1
hundred 1
hunters 1
idea 1
in 11
initially 1
into 2
irrational 1
is 1
it 1
kill 1
killing 1
king 1
leading 1
led 1
light 1
lysaer 5
magegift 1
malicious 1
masterbard 1
members 1
mistwraith 3
more 2
muster 1
new 1
of 9
old 1
on 2
one 1
only 1
outlawed 1
paired 1
prophecy 1
putting 1
raised 1
rather 1
realizing 1
reluctantly 1
resistant 1
resulting 1
retribution 1
returns 1
rule 1
seeks 1
sell 1
seven 1
shadow 1
sides 1
slaughter 1
solace 1
sorcerer 1
splinter 1
stalemate 1
storm 1
succeed 1
succumb 1
support 1
than 2
that 2
the 28
their 3
they 1
though 1
through 3
to 12
transfers 1
turn 1
two 1
unbeknownst 1
upon 1
urged 1
vicious 1
war 2
which 1
while 1
who 1
will 1
winter 1
with 1
withdraw 1
without 1
world 3
worldsend 1
wraith 2
years 1
