2217865
/m/06wrn_
/m/06wrn_
Mervyn Peake
1946
a 47
abiatha 1
able 4
about 3
above 1
abused 1
accompanies 1
according 1
achieve 1
acid 1
acquiring 1
across 2
act 1
adept 1
admired 1
affairs 1
after 6
afterwards 1
alfred 1
all 4
almost 1
aloft 1
along 1
also 2
always 1
ambition 1
ambitious 1
among 1
an 9
ancient 1
and 65
angered 1
angers 1
anyone 1
anything 1
apparent 1
appearing 1
apprentice 2
appropriate 1
archenemy 1
are 10
area 1
arranges 1
arrives 1
arson 1
as 12
asphyxiation 1
assistant 1
at 3
attachment 1
attack 1
attacked 1
attempt 1
attic 2
authority 1
babbles 1
baby 1
background 1
banishes 1
banishment 1
barquentine 4
be 3
become 3
becomes 2
been 2
before 2
begins 1
believe 1
believing 1
beloved 2
bernard 1
bids 1
birth 1
birthday 1
bitterness 1
blow 2
body 3
book 1
books 1
born 1
both 2
boy 1
branch 1
bright 3
burn 1
burning 3
but 5
by 12
care 1
careless 1
cares 1
caring 1
carry 1
carver 1
carvers 2
case 1
castle 18
cats 2
cause 1
caves 1
ceremonies 3
ceremony 1
chain 1
characters 1
chef 1
chief 2
child 2
choices 1
choose 1
christening 1
clambering 1
clarice 2
cleaver 2
climb 2
close 1
come 2
comes 3
completely 1
complex 1
confines 1
connect 1
considerable 1
considerably 1
consummate 1
contact 1
control 1
conversation 1
convinced 1
convinces 2
cook 1
cora 2
could 1
countess 6
day 2
days 1
death 2
decides 1
deserve 1
desires 1
desperately 1
despite 4
destroyed 1
die 1
died 1
dies 1
differently 1
dirty 1
disappearance 2
discovers 1
disturbed 2
do 1
doctor 1
does 2
dominated 1
door 2
doors 1
down 2
dr 4
drags 1
dresses 1
drop 1
drops 1
duel 2
during 2
duties 1
duty 1
dwellings 1
each 1
earl 7
earling 1
eaten 1
eavesdropping 1
eccentric 1
elaborate 1
emotive 1
ends 2
enter 1
enters 1
entire 2
error 1
escalating 1
escape 1
escapes 2
even 1
events 2
eventually 1
ever 2
every 4
everyone 1
everything 1
except 1
exiled 1
expects 1
extremely 1
face 1
fact 2
failed 1
family 5
farewell 1
fat 1
fears 1
feeling 2
few 1
fiercely 1
fifteenyearold 1
fight 1
figure 1
finds 1
fire 3
first 3
firstly 1
flames 1
flay 19
flays 1
flints 2
followed 1
following 1
follows 1
fond 1
for 20
forced 1
forest 1
forgotten 1
found 1
four 1
from 6
front 1
fuchsia 5
fulltime 1
gain 1
gathering 1
gertrude 4
ghost 1
given 1
gives 1
go 1
goal 1
goes 2
good 2
gormenghast 10
grandiose 1
granting 1
great 1
greatly 1
groan 8
grossly 1
had 1
hall 1
hand 1
happen 2
happened 2
has 15
have 1
having 3
he 24
heir 3
helping 2
her 6
here 1
hereditary 1
hero 1
herself 2
hideous 1
highpitched 1
him 12
himself 3
his 16
hit 1
holds 2
homes 1
hoped 1
horror 1
house 1
how 1
however 1
hungry 1
hurls 1
husband 1
if 2
imitating 1
immediately 1
important 2
impregnated 1
in 33
including 1
increasingly 1
individual 1
infant 1
inferiority 1
influence 3
inhabitants 1
initially 1
insane 2
inside 2
intelligent 1
intends 2
intentionally 1
interest 1
into 5
invited 1
irma 1
is 36
ivy 1
job 1
journey 1
joy 1
just 3
keda 5
kill 2
kills 1
kind 1
kitchen 1
kitchens 1
know 1
knowledge 1
lady 1
lake 3
lame 1
large 3
late 1
later 3
laugh 1
laws 1
leads 1
learn 1
learns 1
leaves 1
led 1
ledge 1
leg 1
less 1
library 6
life 2
like 1
little 2
live 1
lived 1
lives 2
living 2
loathing 1
lock 1
locks 1
long 2
longabandoned 1
lord 5
loses 1
lost 2
loved 1
loyal 1
lures 1
mad 1
made 1
madness 1
making 2
man 2
manages 3
many 1
marriage 1
master 4
masters 1
may 1
mdash 2
means 1
meat 1
melancholic 1
members 1
men 1
meticulously 1
minor 1
misanthrope 1
moment 1
monarchical 1
monotonous 1
month 1
more 1
most 3
mountain 1
mountains 1
mr 1
murder 2
must 1
mutual 1
name 2
named 1
nannie 2
naturalist 1
naturally 1
nearby 2
need 1
neither 1
night 1
nights 1
nine 1
no 1
not 7
now 4
number 1
nurse 3
observers 1
observes 1
occur 1
of 57
off 1
officially 1
old 3
on 8
one 7
only 3
onto 1
opportunity 1
ordered 1
other 1
others 1
otherwise 1
out 1
outside 5
over 1
owls 2
own 1
parent 1
part 1
particular 1
parts 2
peake 1
people 1
perform 1
physician 1
place 1
places 1
plan 1
plans 1
position 5
possible 1
possibly 1
post 1
power 4
practicing 1
prepares 2
prestigious 1
pretty 1
prevent 1
previous 1
promises 1
promptly 2
protect 1
protection 1
prunesquallor 5
prunesquallors 1
put 1
quarters 1
quit 1
quite 1
raise 1
raising 1
rather 1
realizes 1
recently 1
recognized 1
reincarnation 1
remains 2
remote 1
resentful 1
resident 1
resolution 1
retainer 1
retainers 1
returns 1
ridiculously 1
rightfully 1
rise 2
risking 1
ritual 1
ritualistic 1
role 1
roof 1
roofscape 1
room 3
rooms 1
ruler 1
sacred 1
sadistic 1
same 1
sarcastically 1
save 1
saved 1
savior 1
scene 2
search 1
searching 1
seclusion 1
secret 1
secretly 1
seeing 1
senile 1
sepulchrave 8
sepulchraves 6
servant 1
servants 1
serves 1
service 1
sets 1
seventeen 1
seventyfouryearold 1
she 6
shed 1
sheer 1
should 2
shout 2
shows 1
silent 1
since 1
sister 2
sisters 2
sixty 1
slagg 2
sleeping 2
sleepwalking 1
slept 1
small 1
smoke 1
so 3
some 1
somewhat 1
son 1
soon 2
sourdust 2
sourdusts 1
space 1
speak 1
spending 1
spiders 1
spy 1
stable 1
stage 1
starting 1
starts 1
starved 1
status 1
stay 1
steerpike 25
steerpikes 1
still 1
stone 1
story 2
strengthening 2
strong 1
sudden 1
suicide 1
suitors 2
surrogate 1
survive 1
swelter 9
swelters 3
sword 1
symbols 1
take 1
taken 1
takes 3
tallest 1
tell 3
tells 1
text 1
that 17
the 127
their 5
them 5
then 2
there 4
they 6
things 2
this 5
though 2
through 3
throws 1
time 2
times 1
tiny 1
title 1
titus 14
to 52
tongue 1
too 1
towards 1
tower 5
traditions 1
tragic 1
twin 1
twins 4
two 3
unbelievably 1
uneasy 1
uninhabited 1
unnamed 1
until 1
up 4
upon 1
use 2
uses 1
vain 1
various 1
vengeful 1
very 2
volunteers 1
walking 1
walls 2
wandering 1
was 3
watch 1
week 1
weeks 1
well 1
wellrespected 1
were 1
wet 1
what 1
when 1
where 3
which 2
while 2
white 1
who 8
whom 1
widow 1
wife 1
will 1
window 3
wit 1
with 10
witnesses 1
woman 1
work 1
world 1
year 2
years 1
yet 2
young 1
