19542277
/m/04y5h5d
/m/04y5h5d
Darren Shan
2009-05-01
{"/m/01hmnh": "Fantasy", "/m/08sdrw": "Adventure novel"}
a 15
able 1
about 4
act 1
after 2
agrees 1
all 4
alone 1
also 2
although 1
an 1
ancient 1
and 43
another 2
anyone 1
appears 1
approached 1
are 3
ark 2
army 1
art 3
artery 1
as 8
asks 3
at 1
attack 2
attempt 1
aware 1
back 4
bad 1
ball 1
band 1
battle 1
be 9
beat 1
bec 12
becomes 1
becs 1
been 3
before 4
begin 3
begins 4
being 1
belonging 2
beranabus 9
best 1
betrayal 1
between 2
beware 1
bille 3
black 1
blind 1
board 1
body 2
book 1
both 2
boy 2
bring 1
broke 1
brother 2
brought 1
build 1
but 11
by 7
calls 1
can 4
cannot 1
catches 1
chess 1
chooses 1
chosen 1
claw 1
clutches 1
come 1
communicate 1
concerns 1
consequences 1
continue 1
continues 1
control 1
corrupted 1
cosmos 1
could 1
create 1
creatures 5
dead 1
death 8
defeat 2
defended 1
demon 1
demonata 2
demons 7
dervish 2
destroy 1
destroys 1
die 1
differences 1
differently 1
disagree 1
disappear 1
disciple 1
disciples 3
discover 1
discussion 1
do 1
does 2
down 1
effort 1
else 1
end 1
ends 1
engulfed 1
escape 4
every 1
everyone 2
exchanges 1
exist 1
eyes 2
fact 1
fall 1
fatally 1
fight 1
fighters 1
fighting 1
final 1
flame 1
flatly 1
foe 1
follow 2
for 5
forced 1
form 4
formed 1
forming 1
found 1
fourth 1
free 2
friends 1
frightened 1
from 3
gain 1
give 1
glimpse 1
go 2
gone 1
group 3
groups 1
grows 1
grubbs 16
guards 1
had 1
happy 1
has 6
hate 1
have 3
having 1
he 15
help 1
her 4
heroes 1
herself 1
hiding 1
him 8
his 8
hope 2
hordes 1
how 2
however 5
huge 1
humanitys 1
idea 1
if 2
imagining 1
impossible 2
in 11
incapacitated 1
including 2
indicating 1
initially 1
insane 1
inside 2
instead 1
intelligent 1
into 2
is 23
it 12
its 2
itself 1
join 1
jumps 1
juni 1
kahgash 6
kernel 33
killed 1
kills 1
lead 2
leads 1
learns 1
learnt 1
leave 2
leaves 1
left 1
light 1
lights 6
little 1
living 1
locates 1
longer 1
lord 4
loss 4
mad 1
made 1
mages 1
magic 1
magically 1
magician 1
making 1
manipulating 1
master 1
may 2
me 1
mean 1
meera 1
meet 2
midst 1
millions 1
mind 1
more 1
most 2
move 1
needed 1
needs 1
new 1
newly 1
no 2
noah 1
noone 1
not 6
notices 1
now 2
numerous 1
of 35
off 1
old 4
on 1
once 2
oncoming 1
one 1
opening 1
opens 1
opportunity 1
or 1
original 2
other 1
out 2
outside 2
over 1
people 1
physical 1
piece 2
pieces 1
place 2
planet 1
point 1
portal 1
possession 1
power 1
presence 1
private 1
protect 1
protection 1
pulse 1
quickly 1
quite 1
raz 2
realise 1
realizes 1
rebuilding 1
refuses 1
regardless 1
remaining 1
return 2
returning 1
returns 1
revealed 1
reveals 2
run 1
same 1
sane 1
save 3
says 2
screaming 1
search 1
sections 1
see 3
seem 2
seen 1
senses 1
separated 1
series 1
set 1
shadow 3
shadows 2
shape 2
shaped 1
shield 1
ship 1
shrugs 1
side 1
since 1
single 2
so 1
some 1
someone 1
something 1
soon 1
soul 3
sound 1
species 1
sphere 3
spirits 3
spleen 1
split 1
squares 1
state 1
stay 2
still 1
stolen 1
stories 1
story 1
stronger 1
successfully 1
such 1
surrounded 1
suspects 1
swan 1
taken 4
takes 1
taking 1
talk 1
talking 1
telepathically 1
tell 1
telling 1
tells 9
terrifying 1
thanks 1
that 18
the 72
their 5
them 7
then 4
thereafter 1
they 6
thing 1
thinks 1
this 5
thought 1
three 1
through 1
thus 1
to 53
told 2
trapped 2
travel 1
tries 1
trust 1
turn 1
two 1
unable 1
uncle 1
understands 1
universe 7
universes 1
unravelling 1
unravels 1
unwilling 1
up 1
use 1
used 1
very 1
violently 1
war 1
warn 1
warns 1
warriors 1
wary 1
was 3
weak 1
were 1
what 2
when 6
where 4
whether 1
which 9
while 1
whispering 3
white 1
who 1
will 6
window 5
wiped 1
with 4
wolfen 1
working 1
works 1
world 4
would 2
wounded 1
yet 1
