13361196
/m/03c2wjq
/m/03c2wjq
Frederic Dannay

{"/m/02n4kr": "Mystery", "/m/0174gw": "Locked room mystery", "/m/0j5nm": "Whodunit"}
21 1
a 3
abel 1
accompanied 1
alive 1
an 3
and 10
announces 1
anywhere 1
apparatus 1
are 2
armed 1
assistant 1
at 3
back 1
beautiful 1
been 1
bendigo 4
brothers 1
bullet 2
but 2
by 1
cannot 1
capable 1
completes 1
crime 1
deadly 1
dealing 1
detective 1
determine 1
dramatic 1
drunken 1
early 1
effects 1
ellery 4
empty 2
enormous 1
exactly 1
fact 1
falls 2
familiar 1
family 2
father 2
firesand 1
follow 1
for 1
found 1
from 1
gets 1
governments 1
gun 3
had 1
has 3
haunt 1
have 1
having 1
he 6
her 1
hermetically 1
his 7
homicide 1
in 6
investigate 1
investigation 1
investigative 1
involve 1
is 8
island 2
it 1
judah 5
june 1
karla 2
king 10
learns 1
letters 1
life 1
lifts 1
list 1
little 1
locked 1
maker 1
makes 1
man 1
midnight 2
more 1
munitions 1
new 1
no 1
observation 1
of 6
on 2
only 2
or 1
order 2
originally 1
originate 1
originated 1
person 1
personal 1
place 1
possession 1
powers 1
private 2
queen 2
repeatedly 1
return 1
richard 1
room 2
sealed 1
searched 1
secret 1
security 1
shoot 1
short 1
similarly 1
solves 1
some 1
soon 1
sot 1
sovereign 1
suspects 1
suspicion 1
that 7
the 18
there 1
these 1
threatening 1
threats 4
time 1
to 3
transported 1
travels 1
two 1
under 2
upon 1
wants 2
wealthiest 1
what 2
when 1
who 1
wife 2
will 1
with 3
within 1
wounded 1
wrightsville 1
york 1
