15389144
/m/03m6vs4
/m/03m6vs4
Richard Adams
1977
1577 1
a 4
after 3
alcestis 2
and 6
appearance 1
are 2
as 3
attacking 1
become 1
bound 1
but 1
by 4
captives 1
captors 1
cat 5
celebrating 1
chagres 1
circumnavigation 1
companions 1
crew 2
crewmember 1
daughter 1
day 1
defeated 1
departs 1
discovered 1
drake 2
drunk 1
elizabeth 1
england 1
english 1
erstwhile 1
for 1
francis 1
frightened 1
from 1
gaol 1
gaoler 3
global 1
greeted 1
harbor 1
has 2
he 1
heroes 1
him 2
his 3
hoard 1
hold 1
home 2
i 1
imprisoned 1
in 2
initially 1
introduced 1
is 4
its 1
keys 1
kitchen 1
knighted 1
lone 1
of 5
off 1
on 2
outward 1
panamanian 1
patriotic 1
philip 1
pity 1
port 1
privateer 1
pursued 1
pursuers 1
queen 1
reinforcements 1
released 1
releases 1
reveals 1
sail 2
saint 1
serve 1
ship 7
shipmates 1
sir 1
spanish 2
steal 1
steals 1
sudden 1
swashbuckling 1
taken 1
takes 1
that 1
the 17
their 2
they 2
to 4
together 1
treasure 1
where 1
