4608769
/m/0ccdwr
/m/0ccdwr
Ann Turnbull
2006
{"/m/03mfnf": "Young adult literature", "/m/0dwly": "Children's literature", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 8
after 1
alive 1
all 1
also 1
always 1
an 1
and 11
are 2
at 4
bailed 1
becomes 1
beloved 1
bit 2
blow 1
both 2
but 3
by 2
called 1
camp 1
cared 1
child 1
city 3
companions 1
daughter 1
deathly 1
destroyed 1
die 1
during 2
edmund 2
eldest 1
epic 1
ever 1
extremely 1
farm 1
father 1
few 1
fight 1
finally 2
finds 2
finished 1
fire 2
for 3
forged 1
friend 1
friends 3
get 2
gets 1
gives 1
god 1
goes 1
happen 1
happily 2
happy 1
has 3
have 1
he 3
healthy 1
her 1
his 6
home 1
huge 1
ill 1
in 6
infested 1
into 1
is 13
it 1
jail 2
knowing 1
last 1
later 1
leave 2
life 1
live 1
located 1
london 2
love 4
make 1
makes 1
man 1
manage 1
many 1
married 1
meeting 1
money 1
much 1
must 1
nat 2
never 1
next 1
nights 1
no 1
not 1
now 1
of 7
on 1
once 1
one 1
only 1
or 1
out 4
over 1
overcome 1
plague 2
prevails 1
prison 1
quaker 1
refuses 1
reunited 1
sends 1
sent 2
she 4
side 1
sight 1
so 1
some 1
son 1
soon 1
starting 1
story 2
streets 1
susanna 5
that 1
the 13
their 1
them 1
there 1
they 3
thing 1
this 1
to 9
travels 1
two 2
until 1
up 1
way 1
wealthy 1
when 2
where 2
whether 1
which 1
whilst 1
who 3
will 12
with 7
work 1
years 1
