9097811
/m/027xlcf
/m/027xlcf
Lloyd Alexander
1963
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
1468 1
1555 1
1588 1
1600 1
1775 1
2700 1
411 1
55 1
8 1
a 3
able 1
about 1
acquired 1
ad 1
adventures 1
after 2
again 1
along 1
america 1
an 1
ancient 1
and 6
ankh 1
another 1
anyone 2
are 3
arrives 1
as 2
bc 2
be 1
beast 1
become 1
begin 1
beholder 1
believe 1
britain 1
burn 1
but 1
by 1
cat 1
catamountain 2
cats 2
ceasar 1
cerdric 1
chieftain 1
communicate 1
considered 1
convinces 1
different 1
difficult 1
divine 1
doubts 1
egypt 1
episodes 1
ever 1
ferocious 1
find 1
for 1
forbids 1
friends 1
gareth 6
germany 1
has 2
he 5
him 2
his 4
history 1
home 1
however 1
in 4
ireland 1
is 2
isle 1
it 2
italy 1
japan 1
jason 6
kidnapped 1
kittens 1
later 2
learns 1
leave 1
lives 1
longtooth 1
man 1
memento 1
mention 1
never 1
nine 3
not 1
obey 1
objects 1
of 4
old 1
on 2
opportunity 1
out 1
pendant 1
peru 1
points 1
power 1
pretend 1
refer 1
return 1
rome 1
says 1
since 1
speak 1
story 1
subsequently 1
supposedly 1
take 1
taken 1
takes 1
talk 1
talking 1
that 2
the 10
their 2
there 1
they 6
this 2
time 1
to 14
travel 1
travels 1
tries 1
uses 1
village 3
villagers 1
visit 1
where 3
wife 1
will 1
with 3
without 1
world 1
would 1
year 1
