24241526
/m/07k5snf
/m/07k5snf
Edith Pargeter
1983
1140 1
15 1
7 1
a 27
abandoned 1
abbey 6
abbot 2
abducted 1
able 1
about 1
absence 1
absent 1
accomplice 1
accounts 1
accuse 1
accused 1
acrobat 1
across 1
acted 1
adapts 1
affects 1
after 3
against 1
ahead 1
air 1
alive 1
all 1
allowed 1
allowing 1
also 2
altar 1
an 1
and 37
anselm 2
any 1
apprentice 1
are 2
argue 1
arrow 1
as 8
asked 1
asks 1
asleep 1
assault 1
asserts 1
at 12
attack 1
attacked 1
attempted 1
aurifaber 4
aurifarber 1
away 1
back 1
baldwin 6
balls 1
bargain 1
barn 1
be 4
been 1
before 1
begin 1
behest 1
behind 3
being 3
beringar 12
bin 1
blackmail 1
body 5
bother 1
boy 5
breaking 1
breaks 1
broken 1
brother 6
bucket 2
but 2
by 11
cadfael 15
calm 1
caring 1
ceremony 1
chapel 1
charges 2
church 2
clear 1
climbs 2
clothing 1
clues 2
coin 2
coins 1
comes 2
compensated 1
compliment 1
compline 1
condition 1
confess 1
confesses 1
controlling 1
corner 1
could 4
crime 2
crimes 1
crowd 1
dame 5
daniel 5
daughter 1
dawn 1
day 2
days 2
dead 1
deadboat 2
decided 1
deduced 1
deduces 1
deeply 1
deputy 1
develops 1
did 1
died 1
directs 1
disappointed 1
discarded 1
discuss 1
distinct 1
do 1
dominance 1
done 1
dowry 1
dried 1
drowning 1
during 2
duties 1
duty 1
dying 1
edge 1
effective 1
elope 1
enters 1
entertainer 1
entire 1
epilogue 1
escorted 1
establishes 1
evening 3
exchange 1
exit 1
experience 1
experienced 1
expire 1
expresses 1
expressing 1
fall 3
family 1
fate 1
father 3
favor 1
fell 1
fight 1
figured 1
find 2
finds 1
firmly 1
following 1
food 1
for 21
forceful 1
forty 1
found 2
freedom 1
from 10
fugitives 1
fully 1
further 1
future 1
gathering 1
gave 2
giving 1
goes 1
goldsmith 4
granddaughter 1
grandmother 3
grandson 1
grants 1
greatgrandchild 1
greedy 1
ground 1
grounds 1
grow 1
guards 1
guide 1
guilt 1
had 2
happened 1
hardship 1
has 4
have 4
having 1
hay 1
he 12
head 1
hear 1
hears 2
held 2
help 1
her 18
hid 1
hidden 1
him 16
his 25
hitting 1
home 3
hoped 1
horse 1
hostage 1
house 3
household 1
housekeeper 1
housekeeping 1
hugh 5
husband 1
iestyn 8
ietsyn 2
if 3
immediately 1
in 26
innocence 2
interview 1
interviews 1
into 1
is 14
it 4
jongleur 2
jug 1
juggling 1
juliana 5
just 1
killed 2
knife 1
late 1
later 1
lattice 1
laundry 1
leave 1
leaves 3
left 1
lies 2
life 1
liliwin 28
lilliwin 1
local 1
locksmith 1
loft 2
long 1
loss 1
loudly 1
love 2
lovely 1
lover 3
lucky 1
madog 3
make 1
management 1
margery 6
marry 1
matins 1
may 2
meant 1
meeting 1
meets 1
men 3
midnight 1
missed 1
mistake 1
mob 3
moment 1
monday 1
money 2
morning 4
most 2
much 1
murder 6
murderer 1
music 2
name 1
naught 1
near 2
negotiates 1
new 2
next 4
night 3
no 2
not 5
noted 1
now 1
oatmeal 2
objects 1
of 25
off 1
on 8
only 1
order 1
orders 1
other 2
out 4
outside 1
over 2
overhears 1
pair 1
paramour 1
passage 1
past 1
patient 1
peche 2
peels 1
people 1
person 1
place 2
plants 1
point 1
power 1
pregnant 1
present 1
prestcote 1
prime 1
prior 3
problems 1
property 1
protests 1
pursue 1
put 1
puts 1
quiet 1
quietly 2
radulfus 3
rannilt 13
read 1
real 1
realise 1
realization 1
realize 1
realizes 2
rebec 3
recently 1
reception 1
recount 1
recover 2
release 1
relief 1
removing 1
repaired 1
reports 1
request 1
requests 1
resolve 1
restore 1
retrieved 1
retrieves 1
return 1
returned 2
rights 1
risks 2
river 4
road 1
robbery 1
robert 1
rock 1
rocks 1
role 1
routine 2
runs 2
sad 1
safe 1
safety 1
same 3
sanctuary 6
saves 1
saw 1
say 1
scorned 1
search 1
second 1
secures 1
see 1
seeing 1
seen 1
sees 2
sentiment 1
sergeant 1
servant 1
services 1
set 1
several 1
severn 1
she 8
sheriff 4
shop 2
shropshire 1
sign 1
silver 1
since 1
sisterinlaw 1
situation 1
slept 1
slips 1
so 3
sorrowing 1
sought 2
speeds 1
spread 1
stole 1
stolen 3
stops 2
stores 1
story 1
stress 1
stroke 1
successfully 1
suffers 1
susanna 12
suspect 2
suspicion 1
sympathy 1
take 1
taken 1
takes 3
talk 1
task 1
teaches 1
tears 1
tells 1
term 1
that 15
the 100
theft 1
their 3
then 6
there 2
these 1
they 4
thief 1
this 4
thought 1
three 1
thrown 1
time 1
to 35
together 1
too 1
toward 1
townsfolk 1
townspeople 2
trait 1
treasure 1
treat 1
treats 1
true 1
truth 1
tunes 1
two 1
unconscious 2
under 1
unnoticed 1
upon 2
vent 1
vespers 1
victim 2
visits 2
wake 1
wales 3
walk 1
walking 1
walter 6
wandering 1
wanderings 1
wanted 1
was 9
watch 1
way 1
wealth 1
wedding 1
weekend 1
well 2
what 1
when 5
where 5
whereabouts 1
which 3
while 3
who 4
will 4
wine 1
wins 1
wishes 1
with 11
witness 1
woman 1
women 1
wood 1
words 1
works 1
would 1
wounds 1
write 1
years 1
yet 1
young 1
