16006765
/m/03qkll3
/m/03qkll3


{"/m/0dwly": "Children's literature"}
12 1
a 10
actually 1
adapting 1
adventures 1
after 2
all 2
allow 1
allowed 1
among 1
an 2
and 18
angry 1
another 1
arrives 2
as 2
at 8
attempt 1
author 1
away 1
be 2
because 1
become 3
bed 1
before 1
begins 2
behaviour 1
being 1
believe 1
benita 1
better 1
between 1
book 1
brief 1
but 4
by 5
celia 25
change 1
circus 1
classmates 1
cockroaches 1
comes 1
convent 2
convinced 1
country 1
creating 1
currently 1
daughter 1
day 1
days 2
decision 1
decrease 1
demands 1
describes 2
desperately 1
dice 1
difficulties 1
discipline 1
disruptive 1
doa 5
does 1
don 1
during 2
earn 1
economically 1
either 1
elderly 1
elsewhere 1
en 1
end 1
enemies 1
english 1
enjoys 1
escape 1
even 1
expelled 1
fast 1
father 3
favorite 2
few 1
filling 1
find 2
first 2
firstperson 1
following 4
for 4
forbids 1
france 1
from 6
get 1
gets 1
girl 5
girls 3
give 1
gives 1
good 2
greatly 1
guide 1
gypsies 1
had 2
happy 1
has 1
have 2
he 3
helps 1
her 19
herself 1
him 1
his 2
home 1
hoping 1
imaginary 1
imagines 1
in 7
inappropriate 1
intelligent 1
introduction 1
irritated 1
is 13
isolina 1
job 1
kind 1
lady 1
largely 1
learns 1
least 1
leave 1
left 2
little 1
lo 1
looked 1
loreto 1
madre 2
make 1
many 4
martyr 1
merlucines 1
mischief 1
misses 2
mocked 1
money 1
more 2
mother 1
much 1
narrates 2
narrative 1
new 1
niece 1
not 1
novelista 1
nun 2
nuns 4
of 7
often 1
old 2
on 1
one 1
or 1
other 3
out 1
parents 2
paris 1
person 1
perspective 1
popularity 1
priest 1
problem 1
quarrels 2
que 1
remedios 3
renamed 1
reprimanded 1
reside 1
restituto 1
revenge 1
rodrigo 1
rules 1
saint 2
school 8
schooling 1
scolds 1
sending 1
sequel 1
she 8
since 1
sleeping 1
sleepwalking 1
some 3
sometimes 1
soon 3
sorts 1
stabilize 1
starts 1
stay 1
story 1
strict 2
students 1
suffers 1
summer 1
take 1
takes 1
tales 2
term 2
than 1
that 4
the 33
their 1
themselves 1
there 3
third 1
those 1
though 1
thus 1
time 2
to 22
told 1
tries 3
trouble 1
trying 1
two 1
uncle 1
understanding 1
unsuccessful 1
up 1
usual 1
very 3
visit 1
ways 1
when 1
which 1
who 5
whom 1
wild 1
willing 1
wishes 3
with 8
woman 2
workers 1
