7655894
/m/026800v
/m/026800v
Nancy Farmer
1996-09
{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
12year 1
181 1
a 12
across 1
advice 1
after 2
aggressive 1
alongside 1
an 1
and 12
animals 2
arrives 1
as 2
baboons 1
because 1
been 1
before 1
behavior 1
blessings 1
boat 2
border 1
but 1
by 2
cholera 1
clothing 1
combat 1
conversations 1
crocodiles 1
customs 1
daily 1
dies 1
disaster 1
doctor 1
drowning 1
dying 1
epidemic 1
even 1
evil 1
experiencing 1
faces 2
false 1
family 2
father 2
finds 1
flees 1
follow 1
ghost 1
girl 2
go 1
gold 1
grandmother 2
haunted 1
have 1
heart 1
her 12
hippos 1
how 1
hungry 1
in 7
instructions 1
is 2
island 1
knowledge 1
language 1
learn 1
leopard 1
let 1
literacy 1
live 1
lives 2
living 1
located 1
loneliness 1
loses 1
lush 1
makes 1
marriage 1
meager 1
meeting 1
mistakes 1
modern 1
mother 1
mozambique 1
must 1
named 1
nearly 1
nhamo 5
nuggets 1
of 6
old 1
or 1
other 1
possess 1
practical 1
prescribed 2
priest 1
proposed 1
provide 1
raised 1
river 1
road 1
sage 1
scandal 1
scientists 1
seemed 1
she 7
shona 2
should 1
skills 1
society 1
some 1
spans 1
spirits 2
starvation 2
steals 1
survival 1
that 1
the 8
threat 2
to 6
traditional 1
tribe 1
trip 1
troop 1
trouble 1
twoday 1
under 1
urged 1
uses 1
village 1
was 2
way 1
what 1
where 2
which 1
witch 1
with 6
year 1
zimbabwe 3
