22293380
/m/05_61g7
/m/05_61g7
Kristin Cashore

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/01qxvh": "Romance novel"}
18yearold 1
a 16
able 2
about 4
accidental 1
acknowledge 1
advanced 1
after 6
afterwards 1
alive 1
all 2
allowing 1
allows 1
almost 1
along 1
also 1
although 2
an 2
and 27
another 1
any 1
anymore 1
anyone 1
apologize 1
are 5
around 1
arrives 1
arrow 1
as 7
assassinate 1
at 2
attempt 1
back 1
be 6
beautiful 1
because 3
become 1
before 1
begin 1
being 1
believe 1
believes 1
benevolent 1
bidding 1
bitterblue 4
blame 1
blinded 1
blood 1
blue 1
bursts 1
but 6
by 7
call 1
called 1
can 3
cannot 1
cashore 1
castle 2
causes 1
chair 1
charmed 1
chased 1
colored 1
come 1
comes 1
compromise 1
confronts 1
confused 1
continue 1
control 1
controlled 1
coronation 1
corrupt 1
council 2
court 3
cousin 1
cruel 1
cruelty 1
dagger 1
daughter 1
death 1
described 1
despite 1
died 1
different 1
discovers 1
disgusted 1
displease 1
do 1
doesnt 1
drives 1
during 1
earn 1
entire 1
escape 1
escaped 1
eventually 1
ever 1
everybody 1
eye 3
eyes 2
fall 2
falters 1
family 1
father 3
feared 1
feelings 2
fight 1
fighting 1
find 2
fog 1
follow 1
follows 1
for 7
forest 1
forgives 1
friends 1
friendship 1
from 5
furious 1
gather 1
get 1
giddon 2
go 1
goes 1
gotten 1
grace 6
graced 2
graceling 3
graces 1
grandemalion 1
grandfather 3
greatly 1
green 1
greening 1
grella 3
grow 1
guards 2
has 6
have 2
he 14
head 1
hear 1
help 1
her 16
herself 3
hilt 1
him 14
his 9
horse 1
how 1
however 1
icy 1
if 1
impossible 1
in 6
information 1
initially 1
injured 1
innocent 1
into 4
introduced 1
is 22
it 4
journey 3
katsa 22
kidnap 1
kidnapped 2
kidnapping 2
killing 1
kills 1
king 9
kingdoms 2
kings 1
knocks 1
knowing 1
knows 1
kristin 1
lake 1
later 2
leaves 1
leck 13
letting 1
lienid 6
life 1
long 1
love 1
lovers 1
making 3
many 1
marriage 1
marry 1
match 1
meets 1
might 1
mind 1
missing 1
mission 1
monsea 3
monster 1
mourns 1
mouth 1
murder 1
named 2
neck 1
never 1
no 1
nobody 1
not 2
noted 1
novel 1
now 1
odd 1
of 11
off 2
oll 1
on 2
one 7
only 5
or 1
order 1
orders 1
organization 1
out 2
over 1
pass 3
passionate 1
people 1
person 1
po 23
prince 1
princess 2
promises 1
proposal 1
protect 1
protected 1
pulls 1
punish 1
randa 5
reading 1
realizes 5
reasons 1
refused 1
refuses 3
remains 2
reputation 1
rescue 1
researching 1
retaliates 1
retreat 1
return 1
ride 1
royal 1
sake 1
savage 1
says 1
scared 1
search 1
secret 2
secretly 1
see 3
sense 2
sensing 1
seven 2
she 16
shoot 1
shot 1
skill 1
some 1
spar 1
stands 1
starts 1
still 2
stories 1
storms 1
straight 1
strange 1
strike 1
stronger 1
supposedly 1
surprise 1
suspect 1
suspects 1
sworn 1
takes 1
talk 1
tears 1
tell 2
tells 2
terrible 1
that 12
the 31
their 3
them 1
then 2
there 1
therefore 1
they 6
thing 1
things 1
thinks 2
thirsts 1
this 1
those 1
thought 1
thoughts 2
through 6
throws 1
to 40
train 1
traveling 2
tree 1
tries 1
trust 1
trusts 1
two 2
unable 2
uncle 1
uncomfortable 1
up 3
urges 1
urging 1
uses 1
very 3
visits 1
way 1
weapon 1
well 1
when 2
where 2
which 1
while 5
who 8
why 1
wife 2
with 10
words 1
world 1
would 1
wrong 1
wronged 1
yet 1
