2826174
/m/085518
/m/085518
Timothy Zahn

501st 1
a 14
aboard 1
about 1
actually 1
addressed 1
admiral 3
after 1
against 2
aid 1
alien 1
alive 1
ambassadormdashwhich 1
an 2
and 23
any 1
are 6
aristocra 1
as 2
at 1
attack 1
back 1
baron 1
be 4
been 2
before 2
beginning 1
begins 1
believing 1
between 2
bloodthirsty 1
but 1
by 2
can 1
care 1
carrier 1
catch 1
center 1
chaf 2
chaformbintrano 1
chiss 9
cluster 1
colony 1
come 2
comes 1
coming 1
command 1
commandeer 1
connected 1
control 1
could 1
dean 1
debt 1
decide 1
deepen 1
deeper 1
defeat 3
defenses 1
deltatwelve 1
desire 1
destination 1
destroyed 1
discovery 1
down 1
dreadnaught 3
dreadnaughts 2
droideka 1
duty 1
earlier 1
embittered 1
empire 2
enjoy 1
entrusted 1
envoy 2
estosh 1
events 1
everything 1
expedition 2
fact 1
fairly 1
fake 1
false 1
fanatical 1
fearing 1
feel 1
fel 1
fighters 1
finally 1
find 2
flight 4
following 1
for 2
forces 1
formbi 1
found 1
friendly 1
from 3
geroons 2
grand 1
groupmdashwhich 1
grow 1
had 5
hand 3
have 2
head 2
her 2
however 3
hundreds 1
if 1
imperials 1
in 3
includes 1
instead 1
intact 1
into 4
is 2
it 2
its 1
jedi 1
jinzler 1
join 1
karrde 3
known 1
learn 1
leaving 1
life 1
luke 11
made 1
main 1
make 1
manage 1
many 1
mara 12
marriage 1
meeting 1
member 1
menace 1
mercilessly 1
message 3
might 1
more 1
must 1
new 3
nirauan 2
not 1
now 2
occurrences 1
odd 1
of 18
on 4
one 2
only 2
opens 1
or 1
organisation 1
other 1
others 1
out 3
outbound 4
over 1
overwhelm 1
owe 1
own 1
parck 2
passed 1
peaceloving 1
people 3
picked 1
pioneering 1
planet 1
possibly 1
practically 1
previous 2
project 1
pursuing 1
quest 1
reaches 1
redoubt 2
remains 2
remnant 1
republic 3
respect 1
revealed 1
revenge 1
rogue 1
sabotage 2
sense 1
serve 1
settle 1
ship 2
ships 1
showdown 1
signal 1
site 1
skysprite 1
skywalker 1
somehow 1
soon 1
space 1
squad 1
starfighter 1
stars 1
stolen 1
stormtroopers 1
stranded 1
strange 1
suddenly 1
supposedly 1
survivor 1
survivors 3
suspicions 1
talon 1
that 6
the 53
theft 1
their 6
them 3
then 1
there 2
they 5
thrawn 2
through 1
time 1
to 19
together 2
top 1
torn 1
tragedy 1
transmission 1
treacherous 1
trick 1
troubled 1
turn 1
two 1
under 1
uneasy 1
unknown 1
up 3
urgent 1
use 1
using 1
vagaari 8
visit 1
voss 1
voyage 1
warned 1
way 1
welcome 1
which 1
whirlwind 1
who 3
will 1
wish 1
with 3
work 1
years 3
