1270905
/m/04nyxc
/m/04nyxc
Vernor Vinge
1986
000 1
10000 1
20th 1
23rd 1
50 1
a 18
about 1
accelerating 1
accidents 1
after 5
against 1
agent 1
agrees 1
ahead 1
alien 1
all 2
allow 1
allowing 2
alone 3
also 4
ambiguous 1
amount 2
an 3
and 14
any 1
approximately 1
archaeological 1
are 2
arsenals 1
as 4
aspects 1
assist 1
assistance 1
at 1
authority 1
automated 1
automaton 1
barring 1
be 3
before 1
blocked 1
bobble 1
bobbled 5
bobblers 1
bobbles 4
bobbling 2
brierson 5
but 2
by 2
can 3
capability 1
case 2
cause 1
century 2
certain 1
civilization 1
civilizations 1
clues 1
collapse 1
colonies 1
combined 1
comparable 1
completely 1
complicate 1
computers 1
countries 1
create 2
crime 1
criminals 2
culprit 1
cybernetic 1
date 1
deals 1
deep 1
definitive 1
della 3
deserted 1
detective 1
determined 1
device 1
devoid 1
dies 1
different 3
disappearance 1
disappeared 1
disaster 1
discovered 2
discussing 1
diversity 1
during 2
each 1
earliest 1
earth 2
ecological 1
effectively 1
end 1
ending 1
enforcement 2
enhancements 1
enough 1
entire 1
event 2
events 1
every 1
evidence 1
excluded 1
existence 1
exists 1
explaining 1
explanation 1
exploring 1
exponentially 1
extensions 1
false 1
faster 1
fatal 1
fate 1
fermi 1
few 1
field 1
find 2
for 6
forcibly 1
form 1
found 1
frictionless 1
from 1
furthermore 1
future 5
gain 1
galaxy 1
gather 2
genetic 1
give 1
group 1
groups 1
hacked 1
had 2
has 2
have 4
her 1
herself 1
high 3
hightech 2
hightechs 2
him 1
hired 1
his 2
how 1
however 1
human 6
humans 2
hundred 1
identities 1
immortality 1
implied 1
improving 1
in 16
including 1
indeed 1
individual 1
injuries 1
inside 2
intelligent 1
interviews 1
into 5
invasion 1
invention 1
investigation 1
is 12
it 1
killer 1
korelev 1
korolev 3
largest 1
late20thcentury 1
later 1
law 2
leader 1
leaders 1
leading 2
leaves 1
left 2
levels 1
life 2
lifespan 1
living 1
locked 2
long 1
longer 1
longestlived 1
lowtech 1
lowtechs 1
lu 2
marta 3
matters 1
medical 1
message 1
million 1
millions 1
more 1
motive 1
murder 3
murdering 1
mysteries 1
mystery 1
natural 1
new 2
no 1
normal 1
novel 1
novella 1
nuclear 1
of 30
on 2
one 5
oneway 1
only 2
open 1
or 3
order 2
original 1
other 3
own 1
paradox 1
parallel 2
peace 2
people 3
perfectly 1
period 2
personal 1
planet 1
practical 1
preceding 1
prevent 1
profoundly 1
progress 1
project 2
proof 1
propulsion 1
protagonist 2
protect 1
provide 1
pulse 1
punishment 2
purposes 1
questions 1
race 3
rare 1
real 2
reasons 1
recruit 1
reflective 1
revenge 1
room 1
roughly 1
seeking 1
seeks 1
self 1
several 1
she 6
shields 1
ships 1
since 1
singularity 6
slightly 2
small 1
so 1
society 1
some 2
soon 1
space 3
specific 1
spent 2
spheres 1
spherical 1
stands 1
stasis 1
still 2
storage 1
story 1
stranded 1
strongly 1
suggest 1
suggested 1
superior 1
survive 1
surviving 1
suspect 2
suspects 1
tech 2
technical 1
technological 2
technology 5
techs 1
testimony 1
than 1
that 5
the 64
their 5
them 2
there 1
these 1
they 2
this 2
those 4
thoughtcontrolled 1
thus 1
time 10
times 1
to 17
transcended 1
transits 1
trapped 1
travel 3
true 1
two 1
ungoverned 2
unpopulated 1
up 4
used 1
valuable 1
vanished 1
vanishings 1
vast 1
vastly 2
very 1
victim 1
victims 1
views 1
war 1
was 5
weapons 2
welcome 1
were 5
when 1
whether 1
which 2
while 2
who 8
whose 1
widow 1
wil 1
with 7
world 1
years 4
yeln 2
