10924737
/m/02qv3zy
/m/02qv3zy
Kurt Andersen
2007-03
{"/m/02p0szs": "Historical fiction", "/m/05hgj": "Novel"}
1848 1
6 1
a 3
actress 1
an 1
and 7
as 1
ben 1
california 1
characters 1
charts 1
craving 1
disorders 1
duff 2
encounters 1
experiences 1
family 1
firefighter 1
from 1
gold 1
he 2
in 4
is 1
journalist 1
journey 1
knowles 1
london 1
lucking 1
manufacturing 1
mexicanamerican 1
move 1
new 2
novel 1
novelist 1
page 1
paris 1
participate 1
photographer 1
pioneering 1
polly 1
prostitute 1
protagonist 1
resolves 1
rush 1
sister 1
skaggs 1
states 1
strangeness 1
the 7
then 1
they 1
timothy 1
to 2
united 1
veteran 1
vulgarity 1
war 1
west 1
world 1
york 1
