35916725
/m/0jwxcdy
/m/0jwxcdy
James Patterson
2012-08-06
a 23
about 3
above 1
after 1
afterwards 1
again 3
akila 1
alarm 1
alarms 1
alive 1
all 7
almost 1
along 1
also 2
always 1
an 2
and 59
angel 13
angry 3
anything 1
apologizes 1
are 16
ari 4
arms 2
as 3
ash 1
at 4
attacked 1
away 2
awaythen 1
back 4
banners 1
be 3
beautiful 2
because 3
been 3
begs 1
believe 1
birdkids 1
blind 1
blog 1
bodies 1
book 2
both 1
brainwashed 1
breathing 1
bring 1
broken 2
building 2
built 1
but 5
by 3
cafe 1
called 3
calling 1
camera 1
can 2
candle 1
candlelit 1
cant 3
capture 1
causing 2
cave 1
caves 4
chance 1
charred 1
circle 1
clamped 1
clean 1
cliff 1
cliffs 1
clip 1
clone 1
come 2
comes 5
coming 2
comment 1
concrete 1
connected 1
connection 1
countries 1
covered 2
date 1
day 1
dead 3
deadly 1
deaththe 1
decides 1
describe 1
describes 1
designed 1
destruction 1
did 1
die 5
died 2
dies 4
dinner 1
disagrees 1
disease 4
do 3
doesnt 2
dont 2
down 5
dr 2
drmartinez 2
dylan 18
each 2
earlier 1
electric 1
ella 1
else 2
end 2
enhanced 1
enters 1
entrance 1
entrances 1
epilogue 2
erasers 5
etc 1
even 1
ever 2
everyone 3
everything 1
explains 2
explodes 1
face 1
fall 1
fang 20
far 1
fate 1
feels 3
fight 1
filled 1
filmed 1
find 4
finds 1
fire 2
first 1
fixes 1
flame 1
flies 1
flock 7
fly 1
for 6
from 6
furious 1
gave 1
gazzy 1
gene 1
get 3
gets 2
giant 1
girl 1
go 13
goes 4
going 4
good 1
group 4
growing 1
guard 1
guilty 1
guys 1
h8e 1
had 1
half 2
hand 2
happen 3
has 8
have 6
having 1
he 22
head 1
hears 5
her 16
high 1
him 15
his 8
hitchhikes 1
hold 1
holden 2
hopes 1
hot 1
house 1
how 1
however 2
humans 2
hundred 1
hunt 1
hurt 1
if 4
iggy 3
immortality 1
immune 1
in 23
including 1
injured 1
inside 2
internet 1
interrupted 1
into 6
is 33
island 4
islands 1
it 17
jeb 6
jet 1
jumps 1
kate 1
kicks 1
kid 1
kids 1
kill 3
kills 2
kiss 3
kissing 2
knew 1
knocks 1
know 2
knows 2
lab 1
large 1
late 1
leave 3
leaves 2
left 1
lesson 1
let 1
lie 1
life 3
like 2
link 1
listen 1
listens 1
live 3
lives 1
looks 1
love 1
loved 2
loves 1
luckiest 1
made 2
make 1
making 2
many 1
mark 1
martinez 2
max 34
maximum 2
may 1
maya 3
means 1
meant 1
meanwhile 2
metaphor 1
miles 1
monitoring 1
most 2
multiple 1
new 1
newton 1
next 2
night 2
nino 2
not 1
nudge 1
of 14
off 5
on 9
once 2
one 2
ones 1
only 2
onto 1
operated 1
or 6
oregon 3
other 6
others 2
our 1
out 10
outcome 1
over 2
own 2
pajamas 1
people 2
percenters 3
perform 1
person 1
personality 1
pierpont 2
place 1
plane 1
points 1
powerful 1
precautions 1
preparing 1
prevent 1
private 1
prologue 1
pulls 1
purpose 1
push 1
quickly 1
ratchet 2
reader 4
ready 1
realizes 2
reconcile 1
record 1
refuse 2
refuses 2
released 1
relief 1
relieved 1
reporters 1
rest 1
reveal 1
reveals 1
ride 2
runs 1
safe 2
safety 2
said 1
same 1
satellite 1
save 2
saw 1
say 1
saying 2
says 11
scares 1
school 3
scientists 1
search 2
searches 1
second 1
see 7
seen 2
sees 4
seize 1
set 1
sets 1
share 1
she 44
should 1
side 1
sighs 1
singing 1
sitting 1
sky 1
smaller 1
smoke 1
snaps 1
so 5
some 1
someone 1
something 1
sort 1
sounds 1
spying 1
star 1
starts 1
stay 2
still 1
stops 1
store 1
succeeds 1
suggesting 1
suit 1
supposed 2
survive 1
survives 1
swallows 1
table 2
take 1
talking 2
teacher 2
tell 3
telling 2
tells 10
tests 1
that 37
the 77
their 6
them 9
then 8
there 5
they 31
theyll 1
thing 2
things 1
thinking 1
thinks 4
this 5
those 1
thoughts 1
time 1
times 1
to 61
together 1
told 1
top 1
total 1
town 1
trangled 1
tree 2
treehouse 4
tries 1
tropical 1
truly 1
try 1
tsunami 1
turns 1
tv 2
two 1
under 1
underground 1
underwater 4
until 3
up 4
upset 1
used 1
very 2
video 1
vision 2
voice 3
voices 1
wants 1
was 9
watches 1
watching 1
water 2
way 1
we 1
were 3
whales 1
what 4
whatever 1
when 3
where 2
whether 3
which 5
while 4
whitecoats 2
who 6
whole 1
will 9
window 1
wing 1
wings 1
wires 1
with 8
wondering 2
wonders 1
working 2
world 4
wounds 1
you 1
your 1
