5740351
/m/0f24vb
/m/0f24vb
Margery Sharp
1977
{"/m/0dwly": "Children's literature"}
a 13
about 3
accompany 1
adventure 3
after 2
age 1
aglow 1
air 1
algernon 4
alive 1
all 4
ally 1
almost 1
also 1
an 3
and 25
another 1
around 1
arrives 1
as 7
asks 1
at 1
attack 1
bachelor 1
bandits 2
battle 1
be 2
bear 2
becomes 2
been 1
before 1
begins 2
being 2
bernard 17
beside 1
bianca 9
bleak 1
boy 1
bunch 1
but 1
by 4
cannot 1
case 1
centers 1
characters 1
charge 1
city 1
claim 1
club 1
clues 2
come 1
comes 1
corner 1
court 1
courtyard 1
curious 1
daydreams 1
days 1
dear 1
decides 1
desolate 2
dies 1
different 1
do 1
down 1
each 1
eat 1
ends 1
enough 1
events 1
eventually 2
except 1
far 1
feel 1
feeling 1
feels 1
few 2
final 1
find 2
finds 1
flat 2
for 4
form 1
formal 1
found 1
fountain 1
fresh 1
from 3
future 1
gathering 1
get 1
getting 1
girls 1
gives 1
go 1
going 1
great 1
guardian 2
had 2
has 2
have 1
he 5
hears 1
heart 1
help 2
her 9
hers 1
hideout 1
hilarious 1
him 10
his 4
home 1
hoped 1
house 1
housemaids 1
how 1
however 1
if 2
ill 1
illness 1
important 1
in 11
inside 1
into 1
invaluable 1
is 11
it 1
just 2
kept 2
kidnapped 1
known 2
lady 1
leading 1
leads 1
leaves 2
legal 2
legendary 1
lets 1
life 1
lifetime 1
like 1
live 3
lost 1
love 2
meanwhile 1
meets 1
middle 1
minutes 1
mishaps 1
miss 14
moments 1
more 1
most 2
mountain 2
mountains 1
mouse 1
must 2
named 4
necessary 1
neighbors 1
nicodemus 2
nigel 1
night 1
not 1
nothing 1
nowhere 1
nurse 1
obnoxious 1
occur 1
of 14
old 1
on 1
one 4
only 2
or 1
order 1
orphaned 1
other 1
over 1
owner 2
pagoda 1
parents 1
part 1
perilous 1
pet 1
place 1
please 1
point 2
pointed 1
porcelain 1
predicament 1
problem 1
process 1
properties 1
proves 1
quest 1
questioning 1
range 2
readers 1
ready 1
realise 1
realises 1
realizing 1
really 1
referred 1
refuses 1
rescue 2
rescuers 1
resort 1
retire 1
returns 1
right 1
roasted 1
runs 1
scene 1
school 1
see 1
self 1
series 3
settle 1
several 1
she 9
shortly 1
sick 1
sit 1
sleep 1
some 1
something 2
still 1
story 2
stuffed 4
taciturn 1
take 1
taken 1
tells 2
terribly 1
that 7
the 28
their 2
there 1
they 3
thinking 1
this 4
three 1
through 1
time 2
to 25
tomasina 5
touch 1
touching 1
toy 2
travel 2
trusts 1
two 1
under 1
up 1
upon 1
valuable 1
very 3
visited 1
wasteland 1
well 1
what 1
when 2
where 3
which 2
whiskers 1
who 3
whole 1
whom 1
will 1
wishes 1
with 7
without 1
wolf 2
wonders 1
worriedly 1
worry 1
young 1
