4279943
/m/0btwvt
/m/0btwvt
Barbara Hambly

a 8
abducted 1
able 1
aboard 1
after 1
against 1
alien 1
all 2
ally 1
along 1
an 1
ancient 1
and 16
are 3
artificial 1
as 3
back 1
be 2
before 1
being 1
belsavis 2
between 1
beyond 1
body 1
bound 1
brave 1
but 2
by 1
c3po 1
callista 4
change 1
chilling 1
chooses 1
cold 1
companions 1
computers 1
conspiracy 1
continue 1
cray 2
darksaber 1
dead 1
decided 1
destroy 1
destruction 2
die 1
discover 1
discovers 1
droids 1
drub 1
effects 1
emperor 1
everything 1
exhaustion 1
exists 1
eye 3
fading 1
fighting 1
final 1
find 2
for 2
forceadept 1
forever 1
form 1
former 2
from 1
grows 1
gunnery 1
han 1
hand 1
has 2
he 2
held 1
her 4
his 1
homeworlds 1
hope 1
horrific 1
hostage 1
houses 1
human 1
impossibly 1
in 3
indoctrination 1
injury 1
intelligence 1
involving 1
is 4
its 1
jedi 5
learn 1
leia 1
life 1
lifeforms 1
loses 1
loss 1
love 1
lover 1
luke 2
makes 1
manipulation 1
massive 1
mckumb 1
mean 1
meanwhile 1
measures 1
mechanicals 1
members 1
myriad 1
nichos 2
now 1
nowabandoned 1
of 12
offers 1
on 1
only 1
out 1
paid 1
palpatine 1
planet 2
powers 1
princess 1
prisoners 1
programming 1
racing 1
reactivated 1
rebel 1
rescue 1
reunited 1
revived 1
running 1
saboteurs 1
sacrificed 1
security 1
selection 1
ship 3
sinister 1
skywalker 1
solo 1
spirit 1
stop 1
stormtrooper 1
stronghold 1
struggles 1
students 1
superweapon 1
tenderness 1
the 23
their 2
them 1
there 1
they 1
thirty 2
time 2
to 10
transport 1
travel 1
trials 1
twilight 1
two 1
unexpected 1
way 2
when 1
who 3
will 2
with 2
years 2
