22851218
/m/0641ltm
/m/0641ltm
Peadar Ó Guilín
2007-09-06
{"/m/06n90": "Science Fiction"}
13 1
5000 1
a 18
across 2
actually 1
all 1
alliances 2
allows 1
and 15
are 2
around 2
artifact 1
as 7
at 1
attempt 1
barbarians 1
barbaric 1
basically 1
be 4
beauty 1
because 4
becomes 2
been 3
before 2
being 4
believes 1
below 1
book 3
both 1
brother 1
but 3
by 5
cannot 1
chief 2
civilized 1
civilzed 1
come 2
comes 1
communicate 1
considered 1
constantly 1
coordinate 1
coveted 1
creatures 2
day 1
days 1
degree 1
destroyed 1
devastated 1
did 1
different 3
disdain 1
disdainful 1
distant 1
each 1
easier 1
either 1
elected 1
end 1
ends 1
ensues 1
entertainment 1
eventually 5
expelled 1
experience 1
explodes 1
extinction 1
fell 1
fend 1
fight 1
flesh 1
fly 1
food 2
for 6
form 1
from 5
gets 1
globes 1
going 1
good 1
great 1
had 1
has 5
have 1
having 2
he 2
help 1
her 7
him 1
himself 1
his 5
holds 1
human 4
humans 8
hunt 2
impediment 1
in 5
indrani 10
is 15
it 4
kill 1
known 2
land 2
language 1
learn 1
live 1
lives 1
lose 1
love 1
low 1
made 1
making 1
manages 1
meets 1
member 3
members 1
more 3
most 2
mysterious 1
name 1
named 1
new 1
now 1
of 29
old 3
on 2
one 6
only 2
opposing 1
or 2
order 1
other 3
out 1
over 1
overlooked 1
overshadowed 1
part 1
partly 2
people 2
piece 1
point 2
popular 1
possession 1
protecting 1
pursued 1
pursuers 1
race 1
raised 1
reclaimed 1
reconcile 1
religious 1
request 1
resent 1
resist 1
respect 1
return 1
returned 1
reveals 1
roof 4
said 1
secret 1
seems 1
sentient 1
shameful 1
she 4
sky 2
source 2
speak 1
species 5
speech 1
status 1
steals 1
stopmouth 10
strange 1
stupid 1
stuttering 1
surrogate 1
survive 1
takes 1
taking 1
talker 3
technology 1
than 2
that 4
the 31
their 5
them 4
themselves 1
there 3
they 3
this 4
thus 1
to 18
took 1
toward 1
trade 2
traded 1
tradition 1
travelled 1
tribe 11
tribeconfronts 1
until 1
useless 1
varaha 1
varahaa 1
variety 1
vast 1
verge 2
view 1
volunteered 2
volunteering 1
wallbreaker 4
war 1
was 1
watch 1
weakest 1
when 3
where 2
which 2
while 1
who 4
whom 1
wife 2
wiped 1
with 4
woman 1
world 1
years 1
your 1
