9180020
/m/027_cvj
/m/027_cvj
Horace McCoy
1935
{"/m/02m4t": "Existentialism"}
1000 1
20 1
50 1
87 1
a 22
abortion 1
actress 1
advantage 1
advised 1
affairs 1
after 2
again 1
allow 1
always 1
amusement 1
an 5
and 29
angry 1
announced 1
another 2
answers 2
anything 1
are 6
around 1
arrest 1
arrive 1
as 8
ask 1
asked 2
asks 1
at 4
attendance 1
attends 1
away 2
bag 1
bar 1
be 3
beach 1
beatty 1
because 2
beg 1
begins 1
being 3
believes 1
beloved 1
bitter 1
book 1
both 1
break 2
broken 1
bullet 1
businesses 1
but 1
by 4
called 1
chapters 1
claustrophobia 1
clothes 1
commit 1
concludes 1
confesses 1
considers 1
consumed 1
contest 9
contestant 2
contestants 3
contests 1
conversations 1
couple 3
couples 5
courage 1
court 1
cover 1
crowd 1
crowds 1
curses 2
dallas 2
dance 6
dancers 1
dancing 1
dead 2
decide 1
derby 3
desire 1
difficulty 1
director 2
disqualified 1
disqualify 1
does 1
doesnt 3
doing 1
dont 1
down 3
drawn 1
dreams 2
drop 1
each 1
efforts 1
elderly 1
eliminated 1
elimination 1
else 1
enter 1
evening 1
event 1
every 2
excerpts 2
extras 1
failed 1
family 1
famous 1
farm 1
favorite 1
feel 1
few 1
fifty 1
film 1
find 2
finding 1
first 1
five 1
fix 1
follows 1
food 1
for 7
form 1
forty 1
four 1
free 1
frequently 1
from 8
gain 1
get 4
gets 1
girl 1
give 1
gloria 16
go 1
goads 1
god 1
goes 1
grandfather 1
grinds 1
grow 1
grueling 1
had 1
hall 1
have 4
having 2
he 13
held 1
help 1
her 9
herself 1
him 2
his 4
hits 1
hollywood 5
horse 1
horses 1
hour 1
hours 1
hundred 1
hypocrites 1
in 14
increase 1
indirectly 1
instead 1
intercut 1
interfering 1
into 4
is 13
its 1
jobless 1
judge 2
kill 1
killed 2
kills 1
large 1
larger 3
last 1
lastplace 1
later 1
layden 2
learns 1
leg 2
like 2
local 2
long 1
looking 1
lose 1
made 1
male 1
man 1
marathon 1
marriage 1
may 2
me 1
meeting 1
meets 1
mercy 2
minute 1
minutes 1
money 1
morals 1
morning 1
most 2
movie 1
movies 1
mrs 2
much 1
murder 3
naive 1
named 1
narrator 1
near 1
newspapers 1
noticed 1
ocean 1
of 16
on 7
one 2
only 1
or 1
out 2
outside 2
outspoken 1
over 1
page 1
parents 1
participating 1
partner 1
parts 1
passes 1
persists 1
personalities 1
physically 1
pier 2
pistol 1
place 1
plainlooking 1
point 1
police 1
policeman 1
pregnant 1
presumably 1
print 1
prize 1
producers 1
promoters 7
publicize 1
put 1
race 1
ran 2
receive 2
recognizes 1
regularly 1
rejection 1
relationship 1
remaining 2
remembers 1
repeats 1
revealed 1
robert 20
schemes 1
second 1
sentencing 2
several 1
sex 1
she 14
shoot 2
shooting 1
short 1
shot 2
should 2
shut 1
shutting 1
sit 1
small 1
society 1
some 1
somewhere 1
soul 1
speaking 1
speedwalk 1
spoiled 1
sponsorship 1
sponsorships 1
stage 2
stand 1
stars 1
start 2
story 3
stray 1
struggling 1
studio 1
suicide 1
sun 1
suspicions 1
syverten 1
takes 1
taking 1
talks 1
tells 5
ten 1
texas 1
that 6
the 59
their 2
then 3
there 1
thereafter 1
they 5
third 1
threaten 1
throughout 1
time 1
tiring 1
to 19
track 1
tried 1
try 1
two 2
type 1
uncle 1
unlikely 1
until 1
usually 1
various 1
walking 1
was 1
watch 1
way 1
week 1
weeks 2
were 1
west 1
when 5
where 1
which 4
who 2
why 1
wishes 1
with 10
without 1
witness 1
woman 1
women 2
wont 1
words 2
work 2
worthy 1
written 2
young 3
your 1
