19720176
/m/04myxhr
/m/04myxhr
Jenny McCarthy
2008-09

180s 1
a 6
about 1
activism 1
after 1
allegedly 1
also 1
alternative 1
and 6
are 1
as 2
attempts 1
autism 9
autistic 1
biomedical 1
book 5
breast 1
by 1
cancer 1
caused 1
changed 1
child 1
children 1
claimed 1
claims 2
conspiratorial 1
contentious 1
controversial 1
dan 1
daughter 1
debilitating 1
defeat 1
despite 1
diet 1
directory 1
discredited 1
doctors 1
exclaims 1
families 1
father 1
features 1
fight 1
fighting 1
focus 1
for 2
founder 1
from 1
have 1
heal 1
healed 1
her 5
his 2
improved 1
in 2
includes 1
into 1
is 2
laundry 1
list 2
made 1
mccarthy 1
mercury 1
mother 1
now 2
of 8
officially 1
on 2
organization 1
outspoken 1
own 1
parents 1
paved 1
personal 1
recently 1
regressions 1
rejected 1
reminiscing 1
research 1
resistance 1
resources 1
save 1
several 1
shares 1
she 1
sixtyyearold 1
son 4
speaks 1
stories 2
sympathetic 1
symptoms 1
taking 1
that 3
the 13
their 1
theory 1
therapies 1
these 1
they 1
thirty 1
to 5
today 1
treatment 1
treatments 1
try 1
undergoing 1
undiagnosed 1
until 1
vaccines 1
was 1
way 1
well 1
which 1
while 1
who 4
whose 1
widely 1
woman 1
