3309504
/m/094t55
/m/094t55
Judy Blundell

a 7
after 1
again 1
anakin 2
and 8
apprentice 2
as 1
be 1
become 2
been 1
best 2
between 2
but 1
calling 1
clone 1
council 1
count 2
dark 1
decide 1
decided 1
decides 1
dooku 5
engulfed 1
even 1
exiled 1
face 1
fate 1
fight 1
final 1
for 1
former 2
friend 3
from 2
galaxy 1
has 4
have 2
himself 1
his 5
if 1
in 1
is 2
it 1
jedi 4
jinn 1
journey 1
kenobi 1
later 3
learn 1
lorian 6
lost 1
many 1
master 1
message 1
missions 1
more 1
much 1
must 2
nod 4
obiwan 3
of 4
old 1
on 1
once 2
one 1
or 1
order 1
own 1
padawan 2
planet 1
promising 1
quigon 2
received 1
republic 1
roaming 1
showdown 1
side 2
sith 1
skywalker 1
spacepirate 1
taken 1
the 11
their 1
they 1
thirteen 1
thirtytwo 1
thought 1
to 6
together 1
train 1
trap 1
treaty 1
twentythree 1
twist 1
two 1
wars 1
ways 1
when 1
will 2
with 1
work 1
xanatos 1
years 3
