30781462
/m/0gfjd23
/m/0gfjd23
Gregory Keyes
2011-09-17
160 1
40 1
a 2
about 1
after 5
again 1
alive 1
also 1
and 9
annaig 1
another 1
are 1
assistant 1
attempting 1
attrebus 1
been 1
buried 1
by 1
captured 1
caught 1
city 1
condemning 1
confirming 1
court 1
current 1
darkens 1
death 1
dishes 1
drove 1
elder 3
escape 1
events 2
eventually 1
for 1
fort 1
further 1
has 1
her 3
him 1
ideas 1
immediately 1
in 1
infernal 1
ingredient 1
insane 1
into 2
introducing 1
is 2
isles 1
its 1
iv 2
killed 1
kitchen 1
lead 1
led 1
like 1
lord 1
malacath 1
mereglim 1
mood 1
murder 1
new 1
novel 1
oblivion 1
of 4
places 1
poison 1
predecessor 1
prior 1
promoted 1
raid 1
recreated 1
repeatedly 1
resume 1
rival 1
scrolls 3
search 1
secret 1
she 1
shivering 1
skraws 1
skyrim 1
slyr 2
some 1
souls 1
sul 1
sword 1
takes 1
the 11
their 1
to 5
tricks 1
tries 1
umbra 2
umbriel 1
v 1
where 1
while 1
wielder 1
years 2
