1377168
/m/04xwjm
/m/04xwjm
Larry Niven

12 1
24 1
a 23
about 2
above 1
accelerated 1
accelerates 1
accelerometer 1
access 1
advanced 1
affairs 1
after 1
agrees 3
ahead 1
alien 4
all 1
allows 1
alone 1
an 2
and 10
another 1
anyway 2
apart 1
approach 1
are 1
as 3
asks 1
at 2
attempt 2
attempting 1
attempts 1
ausfaller 2
autopilot 2
be 3
before 1
began 1
behind 1
being 2
beowulf 1
beyond 1
blackmailed 1
blue 2
blueshifted 1
bomb 2
bureau 1
but 2
buyer 1
bvs1 2
by 4
can 1
cautious 1
center 2
change 1
close 1
compensate 1
compliance 1
construct 1
constructed 1
contracted 1
could 1
cowardly 1
crash 1
currency 1
dangerous 1
data 1
dealing 1
debtors 1
descent 1
details 1
determine 1
detonated 1
do 1
does 1
doppler 1
dubs 1
due 1
during 2
earth 1
effective 1
eight 1
elementary 1
ends 1
enormously 1
ensure 1
escape 2
even 3
eventually 1
ever 1
exceeds 1
explaining 1
extremely 1
fact 1
fails 1
fall 1
find 1
fly 1
for 7
force 2
forced 1
forces 2
fortune 1
free 1
freefall 1
from 1
galactic 1
gees 1
general 2
give 1
gravity 2
had 2
has 6
he 17
highpowered 2
him 4
himself 2
his 4
hold 1
homeworld 1
hospitalized 1
hours 1
how 1
however 1
hyperbolic 1
if 2
in 8
increases 1
informs 1
inside 1
insistence 1
install 1
intention 1
into 5
is 9
it 4
its 1
keep 1
killed 1
knowledge 1
laser 1
laskin 1
last 1
let 1
light 1
likes 1
living 1
made 3
manages 1
many 1
market 1
mass 2
means 1
mentions 1
mile 1
million 1
mission 4
months 1
moon 2
move 1
mysterious 1
native 1
nearly 2
neutron 5
no 3
nose 1
not 1
notices 1
observation 1
of 15
on 3
one 1
only 1
operative 1
orbit 1
orbits 1
other 2
package 1
paranoid 1
passing 1
pattern 1
perfect 1
periapsis 1
perigee 1
peter 1
pierson 1
pilot 1
planet 2
plans 1
precise 1
president 1
previous 2
prison 1
prize 1
products 1
productshulled 1
programs 1
pull 3
pulled 1
puppeteer 4
puppeteers 5
puts 1
race 1
races 1
rather 1
reach 3
reaches 2
realizes 2
realizing 1
received 1
redshifted 1
regional 1
registers 1
relevant 1
reporters 1
researchers 1
return 2
returning 1
schaeffer 4
secret 1
sensor 1
sent 1
sentient 1
separate 1
shaeffer 11
shift 1
ship 8
ships 1
sigmund 1
silence 1
similar 1
skydiver 5
so 1
something 1
somewhere 1
sonya 1
space 1
species 1
specifications 1
speed 1
star 5
starlight 1
stars 3
starship 1
stock 1
strong 1
sunburn 1
supposedly 1
surface 1
surroundings 1
survives 2
take 1
tell 1
than 1
that 7
the 57
their 2
things 1
though 2
thrust 1
thruster 1
thus 1
tidal 4
tides 1
to 21
too 1
towards 1
trapped 1
tries 1
trying 1
turn 1
two 2
ultraviolet 1
un 1
unemployed 1
unknown 1
until 1
unusual 1
value 1
view 1
want 1
warship 1
we 3
week 1
well 2
were 2
what 2
when 3
where 1
while 1
who 1
why 1
will 3
with 5
within 1
world 2
would 1
xforce 2
