9232133
/m/028122n
/m/028122n
Sarah Waters
2006
{"/m/014dfn": "Speculative fiction", "/m/02p0szs": "Historical fiction"}
a 61
able 1
abortion 1
abortions 1
about 8
abruptly 1
accompanies 1
acquainted 1
addition 1
address 1
adores 1
affair 2
afraid 1
after 7
again 1
agency 1
agrees 1
air 5
alarm 1
alec 7
all 1
along 4
also 2
although 2
always 1
ambulance 3
amongst 1
amused 1
an 12
and 100
anonymous 1
another 4
antiques 3
any 1
anything 1
apologizes 1
appears 1
appreciated 1
appreciation 1
are 5
argue 1
argued 1
around 1
arrival 1
arrive 2
arrives 3
arthritis 1
arts 2
as 12
asks 5
asleep 2
assistant 1
assists 1
assumes 1
assuming 1
at 22
atrocious 1
attempted 1
attends 1
attitude 1
attributed 1
author 1
aware 1
away 1
awkward 1
baby 1
back 3
backtoback 1
band 1
barker 1
basis 1
bathroom 2
be 7
because 4
become 1
becomes 1
bed 1
been 6
beer 1
before 7
begins 5
begs 1
behind 2
being 1
beliefs 1
believe 1
belongings 1
between 1
bids 1
birthday 1
bit 1
boarding 1
boss 2
both 2
bother 1
boy 3
boyfriend 2
brag 1
brags 1
break 1
breaking 1
breaks 1
brief 1
bring 1
brings 3
brother 2
brute 1
but 9
buying 1
by 8
caf 2
call 2
calls 2
callup 1
can 1
candle 2
cant 3
car 3
care 1
cares 1
casually 1
caught 2
cellmate 2
challenge 1
chance 2
changed 1
chaos 1
chapter 1
chat 1
cheated 1
cheating 1
cheerful 1
children 1
christian 1
cigarette 1
cinema 5
circumstances 1
city 2
civilians 1
clandestine 1
cleaning 1
clear 2
close 1
coffee 1
collecting 2
collection 1
colonel 1
come 4
comes 2
coming 1
comment 1
comments 1
companion 1
concern 1
condition 1
confide 1
connection 1
considerate 1
constantly 1
continues 1
conversation 1
convinced 1
convinces 2
corpses 1
cost 1
couldnt 1
coworker 1
coworkers 2
crowded 1
crying 1
cuts 2
damage 1
date 1
daughter 1
day 5
days 2
dead 1
debris 1
decides 3
defeatist 1
demeanor 1
dentist 1
despite 1
did 1
didnt 2
difficult 1
dinner 3
dinners 1
disappointed 1
disappointment 1
disapproval 2
discuss 1
disgust 1
dismisses 1
displaying 1
division 1
divulges 1
do 1
doctor 1
doctors 1
does 1
doesnt 9
doest 1
doing 2
done 2
dont 1
doors 1
down 1
dress 1
dresses 1
drifts 1
driving 1
drunk 1
drunken 1
ducks 1
duncan 37
duncans 2
during 2
earlier 1
earnestness 1
easily 1
ecstatic 1
either 1
elderly 1
else 2
emergency 2
emerging 1
empty 1
encounter 1
end 1
ends 1
engage 1
enough 2
entertained 1
entire 2
entirely 1
even 2
evenings 1
every 3
everything 1
example 1
exchange 2
exclaims 1
exile 1
exist 1
explain 1
explains 4
extremely 1
face 1
faces 1
factories 1
factory 3
fall 1
falls 1
familiar 1
farewell 1
father 10
fear 1
feel 1
feeling 1
feels 2
fight 2
figures 1
filled 1
finally 2
find 2
finds 7
finger 1
first 2
five 2
flat 4
fled 1
following 1
follows 1
for 28
fortune 2
four 1
frantic 1
fraser 17
free 1
freeacting 1
freethinking 1
frenzy 1
friend 1
friends 1
friendship 1
friendships 1
from 7
frustration 1
fulfilling 1
gallantry 1
gates 1
gay 1
gentleman 2
gets 1
getting 1
girls 1
go 3
god 1
goes 3
going 2
gold 2
got 1
government 1
guard 1
had 3
haemorrhage 1
hand 1
hands 3
happened 1
has 10
hashes 1
hasnt 1
have 6
havent 1
having 1
he 35
heads 1
heaves 1
hed 1
helen 28
help 3
helps 1
her 60
herself 4
hide 1
hill 2
him 19
himself 2
his 29
history 1
hits 1
home 4
honesty 1
hoping 1
hops 1
horace 1
horrors 1
hospital 2
hotels 1
hours 3
house 2
how 8
however 1
i 1
id 1
illicit 1
imagine 1
imagined 1
implicit 1
implied 3
imprisoned 1
in 34
incessant 1
indications 1
indiscretion 1
individuals 1
inside 2
instead 1
interrupt 1
interrupts 1
into 5
invites 3
involved 1
irritated 1
is 47
isnt 1
it 16
its 1
itself 1
jealous 1
jealousy 2
job 1
join 1
joins 1
julia 24
just 2
juxtaposed 1
kay 34
keeps 1
killing 1
kind 2
kiss 1
kisses 1
kitchen 1
knew 3
know 2
knowing 1
landlord 2
langrish 2
last 1
late 2
later 2
latest 3
latter 1
lavender 2
learn 1
learns 1
leave 3
leaves 4
leaving 2
leonard 1
lesbian 1
life 2
like 1
likes 1
likewise 1
limited 1
lives 2
living 2
locked 1
lodges 1
london 1
long 2
longer 1
looking 2
loss 1
lost 3
lot 1
love 9
loved 1
lover 2
loving 1
madman 1
mainly 1
maintain 1
make 4
makes 2
making 1
managed 1
manner 2
manoeuvre 1
many 1
marriage 1
married 1
massive 1
masturbating 1
matchmaking 1
meat 2
meet 3
meets 2
men 2
mentions 2
mickey 8
midthirties 1
might 2
military 1
minute 1
miscarriage 1
misconception 1
month 2
morbid 1
more 4
mr 10
much 6
mundy 8
mundys 1
must 3
name 1
named 2
navigating 1
nearest 1
neglects 1
neither 1
never 3
new 1
newborn 1
news 1
newspaper 1
night 8
nights 1
no 2
nobody 1
nobodys 1
not 5
note 1
nothing 1
notice 2
now 2
nurses 1
occurred 1
of 27
off 8
office 1
often 1
oh 1
old 2
older 2
on 17
once 5
one 13
only 1
open 1
or 4
orange 1
original 1
other 6
others 2
ought 1
out 8
outside 1
over 2
overcome 1
overseas 1
own 1
panic 1
panicked 1
panics 2
parents 1
past 4
patients 1
performs 1
period 1
permitted 1
picks 1
picnic 1
pinkie 1
pints 1
place 1
point 1
politely 1
potential 1
pounds 1
precisely 1
pregnant 1
present 1
price 1
prison 4
prisoners 1
proceed 1
proceeding 1
proceeds 1
protect 1
protective 1
pub 1
public 1
published 1
punctured 1
put 1
pyjamas 2
queue 1
quickly 1
quiet 1
quite 1
raid 4
raids 2
railway 1
razor 1
realize 1
realizes 1
receive 1
received 1
reconcile 1
reels 1
refer 1
referred 1
referring 1
refuses 1
regarding 1
regardless 1
reggie 10
related 1
relieved 1
reluctantly 1
remain 1
remembers 1
reporter 1
residence 1
resolves 1
responding 1
responds 1
response 1
result 2
return 1
returns 2
revealed 1
revealing 2
reveals 1
reviewed 1
rhetorically 1
ring 2
robert 3
romantically 1
room 3
rubble 3
ruins 2
run 3
runs 3
rushing 1
same 5
saw 1
scene 1
science 1
scorn 1
scornfully 1
search 1
secluded 1
see 6
seeing 1
seem 1
seems 1
seen 2
sees 4
self 1
selfimposed 1
session 1
sets 1
several 1
sexuality 1
share 4
she 48
shell 1
shelter 1
shies 1
should 1
show 2
shrugs 2
side 2
silent 1
silently 1
silk 2
simply 2
since 2
sister 1
sitting 1
situation 2
skin 1
slash 1
sleep 2
slips 1
smitten 1
snaps 1
sneak 1
soldier 1
some 3
someone 5
something 1
sometime 1
sometimes 1
somewhere 2
soon 1
soothingly 1
sounded 1
speak 1
special 1
spend 1
spending 1
spends 5
spent 1
spots 2
spotting 1
standing 1
starts 1
state 1
statement 1
station 1
still 1
stops 5
story 1
straightens 1
street 2
streets 1
strictly 1
struck 1
stuck 1
stupefied 1
suddenly 3
suffered 1
suffers 1
suggestions 1
suicide 2
suit 1
surprise 1
surprised 2
suspicions 1
sweethearts 1
tags 1
take 4
takes 1
taps 1
tea 1
telephones 1
tell 3
telling 1
tells 5
termed 1
than 3
thank 1
thanks 1
that 34
the 89
their 10
them 7
then 4
there 5
they 17
theyre 1
thin 1
thing 1
things 1
think 1
thinking 1
thinks 2
thirteen 1
this 4
those 2
though 3
thought 1
three 2
throat 1
through 1
throughout 1
time 7
times 1
tin 1
tins 1
tiresome 1
to 83
together 1
took 1
tour 1
towards 2
traffic 1
train 1
trapped 1
trashes 1
trousers 1
tuesday 1
twenty 1
two 13
typist 1
unable 1
uncle 1
unclear 1
under 1
underneath 1
understand 1
unexpected 1
unhappy 1
unmarried 1
until 1
up 4
upon 2
upperclass 1
upset 2
ursula 1
used 3
vaguely 1
very 2
victim 1
victims 1
visit 4
viv 29
vivs 1
wait 2
waiting 3
wales 1
walk 1
walking 1
want 1
wanted 1
wants 2
war 6
wartime 1
was 7
watching 5
water 1
way 3
wealthy 1
week 1
weekly 1
weeks 3
weeping 1
weeps 1
were 2
what 2
whatever 1
when 10
whenever 1
where 2
whether 1
which 4
while 8
who 16
whole 1
whom 3
whove 1
why 1
wife 3
will 4
window 3
wishing 1
with 33
without 1
woman 10
womb 1
women 4
work 4
worker 1
working 2
works 4
worry 1
writes 1
years 2
yet 1
young 3
younger 1
