7663148
/m/02686l6
/m/02686l6
Grant Callin

{"/m/06n90": "Science Fiction"}
a 14
able 2
aboard 1
accident 1
activated 1
affectionately 1
alien 1
aliens 1
amused 1
an 3
and 13
anyone 1
archeologist 1
are 3
around 1
arrival 1
artifact 8
as 5
assumed 1
at 4
atmosphere 1
attempt 1
back 1
backup 1
badille 2
be 3
become 1
becomes 2
been 1
behind 1
bond 1
born 1
both 1
brains 1
brilliant 1
but 2
by 2
called 2
cannot 1
century 1
choice 1
classes 1
collectively 1
colonies 1
complex 1
constantly 1
dazzled 1
deceit 1
deems 1
deep 1
depressed 1
despite 1
directions 1
discovers 1
dive 1
dr 1
earth 6
earthers 1
economic 1
effort 1
efforts 2
ends 2
enrolls 1
everything 1
expedition 3
fifth 1
fire 1
first 2
for 5
formed 1
from 1
gear 1
george 1
give 1
gnome 1
going 2
has 3
have 2
having 1
he 3
hidden 1
highradiation 1
him 2
his 4
however 2
identical 1
immense 1
importance 1
in 7
independence 1
inquisitors 1
interpret 1
into 1
introduced 1
is 15
it 4
its 1
joint 1
junior 5
kills 1
known 1
kooreeus 1
kurious 1
last 1
late 1
lead 1
liquid 1
little 1
located 1
location 1
loses 1
malfunctions 1
massive 2
message 2
messagefor 1
messages 1
messagethere 1
mimasbased 1
mission 2
moon 1
moons 1
more 1
mount 1
much 1
must 1
mutant 1
name 1
nearly 1
not 1
now 2
object 1
odd 1
of 5
off 2
ogumi 5
on 6
open 1
opinion 1
or 1
other 2
outer 2
outmanoeuver 1
over 1
own 1
part 1
pilot 5
point 1
president 1
pronounced 1
proves 1
pursuit 1
qualifies 1
quiet 1
recover 3
recovering 1
recovers 1
recovery 1
refers 1
reminds 1
rescue 1
return 1
returns 1
rings 2
runt 1
sacrifices 1
saturn 6
seems 1
send 1
sends 1
shaken 1
ship 1
shipped 1
short 1
sight 1
simultaneous 1
singleminded 1
sixth 2
slowly 1
small 1
so 2
solar 1
sole 1
somewhere 1
space 3
spacehome 9
specified 1
stages 2
star 1
starship 1
still 1
story 2
strikewhitey 1
strong 2
student 1
suffers 1
supergenius 1
surface 1
swiftly 1
system 3
take 1
teaching 1
that 3
the 26
them 1
there 1
things 2
this 2
three 1
to 17
together 1
too 1
training 1
twentyfirst 1
university 2
until 1
up 2
vessel 1
what 1
when 2
which 1
while 1
whitedimple 2
whitey 13
who 2
whom 1
will 3
winning 1
with 1
words 1
work 2
