5731456
/m/0f1qs_
/m/0f1qs_
John McGahern

{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
120s 1
a 16
about 2
abruptly 1
absolute 1
abuses 1
account 1
actually 1
after 1
again 1
against 1
age 1
ages 1
all 3
alleviates 1
alone 1
also 3
although 3
altogether 1
always 1
among 1
an 6
and 25
any 1
anything 1
apologies 1
apparent 1
approval 1
are 4
argument 1
army 1
around 1
as 8
assert 1
at 3
attack 1
attention 4
authority 4
autonomy 1
battle 1
be 5
because 5
become 2
becomes 2
behind 2
being 1
belonged 1
best 2
betrayed 1
between 2
bitter 1
brady 1
british 1
buried 1
busy 2
but 2
by 4
called 2
calm 1
can 4
care 1
carried 1
catholic 1
centre 1
charge 1
child 1
children 5
clear 2
column 1
compared 1
completely 1
complications 1
constant 1
content 1
controlling 1
courage 1
cruel 1
daddy 1
daily 2
daughter 1
daughters 3
day 5
dealings 2
decided 1
defining 1
demands 2
demarcation 1
depressed 1
description 1
despite 3
determined 1
devout 1
dies 1
different 2
disputes 1
distance 1
do 1
does 1
dominates 1
dublin 1
each 1
elderly 1
end 1
ended 1
ends 1
enforces 1
enjoy 1
escape 1
ethos 1
even 1
event 1
example 3
exercises 1
exile 1
failing 1
familial 1
families 1
family 13
farm 1
father 1
fear 1
feel 1
feels 2
fighter 1
find 1
first 1
fixed 1
flashback 1
flashbacks 2
flying 1
focusing 1
for 13
fought 3
friend 1
friends 1
friendship 3
from 4
gains 1
gangsters 1
good 1
government 1
grateful 1
great 2
grow 1
guerrilla 1
had 2
has 1
have 3
he 33
health 1
help 2
helps 1
her 2
hides 1
him 7
himself 1
his 38
home 2
hoping 1
house 2
however 2
ideals 1
identity 1
if 1
important 2
in 16
inappropriate 1
independence 1
individuality 1
influence 2
inner 1
inordinately 1
into 1
ira 1
ireland 2
irish 1
iron 1
is 23
it 3
kept 1
lack 1
larger 1
leave 3
leaves 2
left 3
life 4
live 1
lives 3
local 1
london 3
long 1
looking 1
losing 1
love 1
luke 2
maggie 1
mainstay 1
makes 1
male 1
market 1
marries 2
marry 1
mcquaid 3
mcquaids 1
meadow 2
mentioning 1
michael 2
middleage 1
might 1
military 1
misses 1
moment 1
monaghan 3
mood 1
moran 18
morans 1
more 1
mostly 1
mother 2
narrative 1
nature 3
needed 1
needs 1
never 2
no 1
not 1
nothing 1
novel 2
now 2
nurse 1
obstinate 1
of 28
often 2
old 1
older 1
on 6
once 2
one 1
only 2
open 1
opens 1
order 1
others 2
out 2
outbursts 1
outgrown 1
outside 1
over 1
overbearing 1
own 5
painful 2
part 1
past 2
pension 1
people 1
person 2
personality 1
petulantly 1
position 1
power 1
prominent 1
protection 1
provided 1
quality 1
quietly 1
really 1
rebuking 1
received 1
recites 1
recounted 1
recreate 1
refrain 1
refuses 2
regularly 1
religious 1
remember 1
reminisce 1
republic 1
republican 1
respect 1
return 1
returns 1
reverse 1
rosary 1
rose 3
rules 1
security 1
seemed 1
served 1
she 6
shown 1
silent 1
simple 1
slightest 1
small 1
smallminded 1
so 1
soldier 1
solidarity 1
somehow 1
son 1
sons 2
sort 2
start 1
stems 1
stick 1
story 1
structure 1
sure 1
sweet 1
swings 1
tacitly 1
taken 1
teenagers 1
tells 1
temper 1
tender 1
that 17
the 52
their 6
them 3
there 3
they 12
things 1
thinks 2
this 3
those 1
thoughts 1
threatened 1
three 1
through 3
thus 1
time 1
times 1
to 18
together 2
told 1
tolerant 1
towards 1
transfers 1
traumas 1
tree 1
turmoil 1
two 1
under 2
unite 1
until 1
up 1
upholds 1
upon 1
use 1
used 1
using 1
values 1
verbally 1
version 1
very 2
view 1
violent 3
visit 1
walls 1
war 2
warning 1
was 5
way 2
ways 1
we 2
weak 1
wedding 1
well 1
were 1
west 1
when 5
which 3
who 2
widower 1
will 2
with 7
withdraws 1
woman 1
women 1
world 2
would 1
yearn 1
yet 1
yew 2
yield 1
youngest 1
youth 2
