8543472
/m/02778nd
/m/02778nd
Tracy Hickman
1994
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 14
abandoned 1
abarrach 4
about 2
above 1
accept 1
actually 1
again 1
agrees 1
aids 1
air 1
alfred 16
alive 3
all 7
allegiance 1
alliance 1
allmdashmight 1
allow 1
allows 1
almost 1
among 1
an 3
and 48
appearance 1
approached 1
are 3
arises 1
arrives 2
as 8
asks 1
at 4
attempts 3
back 2
balthazar 7
be 4
because 1
been 3
before 1
begins 2
being 2
between 1
blade 1
bodyguards 1
both 4
bravely 1
bringing 2
but 13
by 5
called 1
can 3
cant 1
capital 1
casts 1
catacombs 1
caused 1
causing 1
ceiling 1
chamber 2
chelestra 2
chosen 1
city 1
claim 1
clear 1
clearly 1
closes 1
coherent 1
collapse 1
collapsing 1
combine 1
come 1
comes 1
command 1
communicate 1
company 1
control 1
corpses 1
course 1
creation 1
cruelty 1
cursed 1
damned 2
dead 1
deal 2
death 8
decides 1
defeat 1
defense 1
descend 1
despite 1
destroying 2
devices 1
diametric 1
die 1
dies 1
difference 1
do 4
doddering 1
does 2
doesnt 1
dog 6
doing 1
done 1
door 4
doors 1
doorsmdashall 1
doorsmdashinto 1
doubt 1
down 2
dragon 2
dragons 2
dragonsnake 1
dragonsnakes 5
drive 1
dull 1
dying 1
eager 1
easier 1
either 1
elven 1
encampment 1
end 3
ends 1
entering 1
entire 1
equal 1
escapes 1
escaping 1
everyone 1
everything 1
exactly 1
external 1
fact 1
faithful 1
far 1
few 3
fight 1
final 6
finally 2
find 2
finish 2
fit 1
flawed 1
for 10
forces 2
forcing 1
form 4
fought 1
found 1
four 1
friends 1
from 3
gate 12
gave 1
give 1
gods 1
good 2
goodbye 1
great 1
greatest 1
had 1
hallway 2
halt 2
hand 3
haplo 18
happens 1
has 5
have 4
having 1
he 19
head 1
heal 1
hears 1
help 2
hemdashthough 1
her 2
here 1
him 9
himself 5
his 17
hold 1
honored 1
hope 1
hugh 7
human 1
if 1
important 1
in 21
including 1
injuries 1
instilled 1
instincts 1
intending 1
interest 1
into 6
intones 1
is 21
it 16
itself 1
job 1
jonathan 2
jump 1
just 1
kill 1
killing 1
kills 1
kleitus 1
know 1
knowledge 1
knows 1
labyrinth 7
labyrinthmdashhe 1
last 1
lazar 4
leader 2
leave 4
leaving 1
let 1
lies 1
life 1
listening 1
longed 1
loom 1
lord 3
love 1
loves 1
loyalty 1
lurches 1
magic 1
magics 1
make 3
man 1
marit 9
mdash 2
meanwhile 1
men 1
mensch 2
mention 1
middle 1
might 1
mission 1
modicum 1
moments 1
monsters 1
most 1
much 1
must 2
nearly 1
necromancy 2
never 4
nexus 4
no 3
normal 1
not 2
nothing 1
now 1
obviously 1
of 35
off 1
on 8
once 1
one 5
only 2
open 1
opens 2
opposites 2
optimism 1
other 1
out 2
over 2
overtook 1
own 2
owned 1
pass 1
patryn 4
patryns 4
peace 3
peacefully 1
people 2
peremptorily 1
perfect 1
perhaps 1
plans 2
poisonous 1
polar 1
powerful 1
preparations 1
prepare 1
preparing 1
pressed 1
prisoner 1
problem 1
promise 1
proposes 1
providence 1
pryan 1
pryanmdashthe 1
quick 1
ramu 5
reach 1
realizes 1
really 2
realms 1
rears 1
reason 1
redesigns 1
remaining 1
removed 1
replaced 1
rescue 2
rest 2
retreat 1
reunited 1
reversesundering 1
reversing 1
reverts 1
revive 1
rule 1
runestructures 1
rushes 1
sacrifices 1
samah 1
sangdrax 5
sartan 6
savagery 1
saying 1
screeching 1
seal 1
see 1
seeds 1
seen 1
sees 2
seize 1
sending 1
sent 1
seventh 3
shakes 1
ship 2
shut 3
side 2
silently 1
situation 1
slain 1
slowly 1
smash 1
so 3
some 1
somehow 2
son 2
soul 1
spell 3
start 1
started 2
state 1
steps 1
still 3
stroke 1
structure 1
suddenly 1
sundering 1
surreptitiously 1
surrogate 1
surrounded 1
sustains 1
swing 1
sword 1
take 1
taken 2
takes 3
taking 1
tells 1
that 3
the 91
their 4
them 2
themselves 1
then 2
there 2
they 7
think 1
this 6
though 4
threat 1
threatening 1
through 5
throws 1
thud 1
time 4
to 47
together 1
togethermdashpatryn 1
too 1
totally 1
towers 1
travel 2
trouble 2
true 1
truly 1
try 1
turns 1
two 2
unable 1
under 1
undo 1
universe 1
until 1
up 2
urge 1
urges 1
us 1
vasu 1
venture 1
very 2
violence 2
wants 3
war 3
warn 1
was 1
wave 1
way 1
weeps 1
well 4
wellmdashat 1
what 6
when 5
where 4
which 3
while 1
who 3
whom 1
why 1
wide 1
will 2
willingly 1
with 10
without 1
woman 1
wonders 1
work 3
works 1
world 2
would 1
wounded 1
wounds 1
xar 12
zifnab 3
