9199550
/m/027__yt
/m/027__yt
James Patterson
2007-05-08
a 7
amid 1
an 2
and 5
anyone 1
appears 1
are 1
arent 1
attack 1
bars 1
be 1
before 1
behind 1
being 1
boxer 1
brink 1
but 1
case 1
certainty 1
children 1
choice 1
city 2
club 2
control 1
could 1
danger 1
death 1
demanding 1
department 1
dreamed 1
either 1
electrified 1
else 1
entire 1
everything 1
facewith 1
fight 1
flatout 1
for 1
four 1
francisco 1
has 2
her 2
horrifying 1
hurt 1
in 2
investigation 1
is 1
juggles 1
just 1
keep 1
kidnappers 1
kidnappings 1
knowledge 1
leaves 1
lethal 1
life 1
lindsay 3
love 1
madman 1
make 1
member 1
members 1
momentarily 1
more 1
murder 1
must 1
nannies 1
never 1
new 2
no 1
of 7
off 1
on 1
one 2
others 1
outcome 1
panic 1
partner 1
plucked 1
police 1
possibility 1
prayer 1
putting 1
ransom 1
rising 1
run 1
san 1
series 1
she 1
shed 1
stop 1
streets 1
struggling 1
success 1
takes 1
terrifying 1
than 1
that 3
the 12
their 1
to 2
together 1
turn 1
uncertainty 1
under 1
unsolvable 1
when 2
with 2
women 1
