1927113
/m/066qtq
/m/066qtq
Lu Xun
1921

a 3
above 1
adventures 1
ah 5
and 4
are 1
as 2
bully 1
but 1
carted 1
character 1
chinese 1
class 1
crime 1
defeat 1
definite 1
education 1
ending 1
equally 1
euphemism 1
even 2
execution 1
exposes 1
extreme 2
faced 1
famous 1
faults 1
fearful 1
for 3
fortunate 1
from 1
he 3
him 1
himself 1
his 2
humiliation 1
in 1
is 5
less 1
little 1
lu 2
man 1
mentally 1
minor 1
national 1
no 1
occupation 1
of 5
off 1
oppressors 1
or 2
peasant 1
persuades 1
piece 1
poignant 1
power 1
q 5
rank 1
rural 1
satirical 1
selfdeception 1
selftalk 1
spiritual 1
spiritually 1
story 1
strength 1
succumbs 1
superior 1
suppression 1
symptomatic 1
that 1
the 7
their 1
those 1
time 1
to 4
traces 1
tyranny 1
victories 1
when 2
who 1
with 2
xun 2
